GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "32000","Nevada",8,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",1,"...","All industry total",60593.4,65315.0,71534.9,76627.1,80426.6,84733.5,90778.8,104420.6,117856.1,127575.7,131599.8,129372.4,121109.5,123598.1,126657.1,128043.0,130621.4,135026.5,144299.0,150435.9,157020.8,165803.4
 "32000","Nevada",8,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",2,"..."," Private industries",54228.6,58333.4,64141.4,68743.2,72037.1,75864.1,80996.0,93712.1,106574.9,115391.9,118520.4,115584.1,106906.5,108887.9,112011.3,113418.0,115607.4,119468.7,127816.4,133320.6,139207.3,147763.3
 "32000","Nevada",8,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",165.1,184.1,179.8,207.1,209.0,177.9,189.1,241.3,245.4,256.5,219.0,290.1,265.4,287.3,372.7,294.8,310.9,412.4,331.6,265.1,252.2,233.8
 "32000","Nevada",8,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",4,"111-112","   Farms",137.4,158.0,149.4,179.3,184.4,151.8,163.6,215.7,219.5,225.4,189.4,255.4,224.3,250.6,333.2,253.5,272.0,370.4,292.4,226.9,212.6,(NA)
 "32000","Nevada",8,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",27.7,26.1,30.4,27.8,24.6,26.1,25.5,25.6,26.0,31.1,29.5,34.8,41.1,36.7,39.5,41.3,38.9,42.1,39.2,38.2,39.6,(NA)
 "32000","Nevada",8,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",1401.7,1465.3,1435.9,1418.2,1256.7,1326.9,1506.1,1844.4,2197.3,3289.0,3456.2,4069.9,3946.3,5145.7,6273.9,5712.8,4382.6,3361.3,2748.1,3320.8,3904.7,3199.3
 "32000","Nevada",8,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",7,"211","   Oil and gas extraction",1.5,0.7,0.8,1.3,1.1,1.7,1.5,2.4,2.4,3.2,3.3,4.8,3.6,3.8,4.5,4.5,3.6,2.8,1.7,1.4,1.6,(NA)
 "32000","Nevada",8,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",8,"212","   Mining (except oil and gas)",1347.9,1424.0,1390.6,1358.7,1207.7,1275.1,1446.6,1764.2,2115.8,3173.9,3325.9,3857.8,3801.4,4914.2,5938.6,5303.6,4055.8,3077.3,2514.9,3154.2,3718.2,(NA)
 "32000","Nevada",8,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",9,"213","   Support activities for mining",52.3,40.6,44.5,58.2,47.9,50.1,58.0,77.9,79.1,111.9,127.0,207.3,141.3,227.7,330.9,404.7,323.1,281.2,231.5,165.2,184.9,(NA)
 "32000","Nevada",8,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",10,"22","  Utilities",1159.5,1111.5,1284.6,1292.8,1501.5,1559.3,1626.9,1873.1,1738.7,2054.1,2085.9,2130.3,2380.6,2404.8,2291.6,2276.3,2334.8,2442.5,2476.7,2355.7,2386.2,2449.3
