GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "36000","New York",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",1,"...","All industry total",718322.5,745223.7,793721.1,838660.3,877149.3,886792.7,905280.6,955192.0,1015046.3,1071393.1,1108896.0,1099234.4,1152812.1,1213946.9,1236061.4,1322447.9,1355581.4,1427812.7,1487789.4,1541524.4,1598457.0,1676350.2
 "36000","New York",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",2,"..."," Private industries",636380.9,658862.4,701925.1,742467.4,779584.9,785919.4,800131.4,844148.1,899499.1,952386.0,982938.8,967450.7,1016494.0,1072562.5,1094677.8,1179434.7,1204330.7,1274635.0,1333032.7,1383684.2,1435735.8,1499123.3
 "36000","New York",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",1406.7,1564.3,1601.9,1632.6,1788.5,1508.9,1681.8,2112.9,2066.4,2036.2,2461.2,2724.1,2030.5,2634.5,3111.0,2872.9,3325.6,3405.9,2680.7,2393.8,2631.9,2457.4
 "36000","New York",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",4,"111-112","   Farms",1121.9,1319.2,1344.3,1366.0,1540.3,1264.3,1422.1,1838.4,1768.1,1677.8,2132.2,2389.9,1717.3,2292.7,2781.3,2534.8,2989.7,3043.4,2276.3,1998.3,2218.6,(NA)
 "36000","New York",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",284.8,245.1,257.5,266.6,248.1,244.6,259.7,274.4,298.3,358.3,328.9,334.1,313.2,341.8,329.7,338.1,335.9,362.6,404.4,395.5,413.4,(NA)
 "36000","New York",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",354.7,390.0,425.0,427.5,430.4,420.5,480.1,586.6,673.1,869.4,970.9,1182.4,1032.8,1058.1,984.8,942.1,837.8,866.3,703.1,829.8,797.5,793.7
 "36000","New York",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",7,"211","   Oil and gas extraction",12.6,9.9,6.7,10.9,20.8,18.9,36.3,59.7,89.3,103.1,142.3,201.3,158.5,195.1,278.7,247.9,249.9,253.4,111.3,78.3,81.1,(NA)
 "36000","New York",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",8,"212","   Mining (except oil and gas)",319.3,359.2,399.4,393.7,384.2,376.4,416.4,493.6,536.1,682.5,716.9,786.4,784.3,774.6,618.8,588.3,533.7,551.9,543.4,714.5,676.2,(NA)
 "36000","New York",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",9,"213","   Support activities for mining",22.8,20.8,18.9,23.0,25.5,25.3,27.4,33.4,47.7,83.7,111.7,194.6,90.1,88.4,87.3,106.0,54.2,61.0,48.4,37.0,40.2,(NA)
 "36000","New York",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",10,"22","  Utilities",13242.9,12713.1,13447.3,13281.9,13645.5,13249.8,14193.2,16153.1,15839.0,17094.1,16786.0,17073.4,17747.8,19925.8,20208.4,19728.0,20599.4,21801.9,21335.9,21180.1,21761.7,22509.1
 "36000","New York",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",11,"23","  Construction",17575.4,18787.4,21542.0,24657.8,26779.5,27700.0,29182.1,30867.8,32805.1,34534.1,38157.0,39134.0,37839.4,34650.3,33872.4,35187.3,37170.9,39511.2,43452.2,46855.1,48224.0,51343.4
 "36000","New York",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",12,"31-33","  Manufacturing",58439.8,61905.6,62599.8,64948.1,61501.4,63451.4,61710.4,63411.8,65068.5,69239.9,68450.0,66542.3,69375.0,69458.5,64344.6,63961.1,65010.5,67224.7,71457.4,69844.7,70870.7,74577.3
 "36000","New York",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",31031.6,33549.4,32999.7,33198.8,30414.6,30551.8,28922.9,29670.8,31249.7,31173.4,32504.6,32586.0,29499.1,31206.1,31570.4,32982.9,35069.5,34948.3,36173.9,35091.6,35375.2,36760.9
 "36000","New York",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",14,"321","    Wood product manufacturing",434.5,449.4,439.2,503.6,495.8,501.2,489.4,445.5,511.1,458.7,508.1,532.5,417.7,487.2,460.3,453.0,492.9,601.3,628.9,681.5,676.2,(NA)
 "36000","New York",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",2383.2,2367.5,1992.3,2151.7,1642.7,1650.6,1535.8,2126.2,2136.0,2078.6,1948.8,1936.2,1905.3,1564.9,2041.9,1683.2,1780.0,2741.2,2752.1,2978.2,3048.5,(NA)
 "36000","New York",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",16,"331","    Primary metal manufacturing",1086.2,1293.1,1293.1,1440.3,1365.2,1330.5,1214.5,1434.7,1591.8,1641.3,1794.4,1292.9,428.0,829.2,748.7,1770.6,1406.3,1685.7,1283.6,1205.6,1280.6,(NA)
 "36000","New York",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",4096.7,4435.8,4336.1,4537.2,4109.4,3877.8,3998.7,4242.6,4258.8,4245.2,4428.5,4223.1,4097.6,4029.6,4071.2,4527.3,4999.0,4915.4,5063.4,5182.2,5323.1,(NA)
 "36000","New York",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",18,"333","    Machinery manufacturing",7311.5,8393.3,8359.1,7270.6,6530.7,5810.7,4375.3,4783.0,5165.2,5414.1,5721.3,5921.3,5600.5,5115.2,5973.7,5797.4,6542.5,5982.8,6670.5,5862.6,5903.5,(NA)
 "36000","New York",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",5273.9,5767.0,4722.4,6580.2,7043.9,6677.7,6893.2,6922.3,6951.0,6444.8,7438.4,8346.7,8016.3,9073.3,8885.4,9694.7,10175.8,9586.4,10711.7,10204.7,10309.2,(NA)
 "36000","New York",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",2255.7,1762.9,1809.9,1533.7,1446.8,1576.0,1617.2,1364.5,1403.2,1692.6,1469.7,1682.9,1541.2,1526.8,1386.6,1531.4,1615.5,1451.3,1444.4,1364.2,1328.4,(NA)
 "36000","New York",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",2802.3,3461.5,3327.1,3210.5,2696.3,3430.3,3320.4,2475.3,2685.2,2566.5,2142.9,1361.2,667.0,1207.7,1268.2,1134.1,1281.5,1395.7,1447.9,1393.2,1403.4,(NA)
 "36000","New York",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",22,"3364-3369","    Other transportation equipment manufacturing",983.5,1110.3,1899.3,1541.5,1099.5,1457.1,1216.3,1540.3,1976.8,1661.6,1717.6,1906.2,1977.8,2189.0,2116.6,1874.5,1975.3,2039.5,1554.0,1674.0,1678.0,(NA)
 "36000","New York",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",23,"337","    Furniture and related product manufacturing",876.0,978.4,1062.3,1114.3,1047.5,976.9,990.4,929.7,994.8,1112.4,1155.5,1011.3,836.1,766.7,755.4,751.0,855.7,873.9,924.7,981.0,973.1,(NA)
 "36000","New York",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",24,"339","    Miscellaneous manufacturing",3528.2,3530.1,3759.0,3315.1,2936.7,3263.0,3271.6,3406.6,3575.8,3857.6,4179.4,4371.7,4011.6,4416.5,3862.4,3765.9,3945.0,3675.1,3692.9,3564.4,3451.1,(NA)
 "36000","New York",2,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",25,"311-316,322-326","   Nondurable goods manufacturing",27408.1,28356.2,29600.0,31749.3,31086.8,32899.6,32787.5,33741.1,33818.8,38066.5,35945.3,33956.3,39875.8,38252.4,32774.3,30978.2,29941.0,32276.4,35283.5,34753.1,35495.4,37816.5
