GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "40000","Oklahoma",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",1,"...","All industry total",79096.0,81209.1,84062.9,90792.7,96767.0,99163.0,105243.3,113148.7,124563.3,137083.6,144893.3,159660.0,145736.4,152911.4,165035.6,173483.7,182618.4,195689.0,185250.5,178510.2,187347.9,199975.8
 "40000","Oklahoma",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",2,"..."," Private industries",66189.5,67850.0,69895.6,75814.1,80805.2,82147.4,87524.3,94571.7,104546.2,115678.5,121965.5,135307.4,120133.9,126445.9,138134.3,146833.3,155129.2,167428.7,156171.8,149307.5,157763.3,169799.5
 "40000","Oklahoma",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",1492.3,1223.3,1374.7,1558.0,1453.7,1683.3,1765.1,2455.2,2312.0,1816.1,1862.8,2056.8,1337.6,2094.9,2724.7,3057.5,3064.2,3481.1,3121.6,2450.7,2720.1,2569.4
 "40000","Oklahoma",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",4,"111-112","   Farms",1387.0,1117.6,1260.3,1440.7,1338.7,1562.8,1624.1,2285.4,2141.0,1604.2,1667.8,1874.3,1137.0,1873.1,2521.5,2854.1,2866.2,3267.4,2888.2,2204.3,2459.2,(NA)
 "40000","Oklahoma",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",105.3,105.7,114.4,117.3,115.0,120.5,141.0,169.8,170.9,211.9,195.0,182.4,200.7,221.8,203.2,203.4,198.0,213.7,233.4,246.4,260.9,(NA)
 "40000","Oklahoma",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",3650.5,2721.7,2904.8,4622.7,5988.3,5602.3,8043.3,10607.8,15218.9,18649.1,21592.8,29201.3,18595.0,22068.2,26372.6,24737.9,29867.6,34791.9,20204.0,17002.4,22330.5,27441.6
 "40000","Oklahoma",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",7,"211","   Oil and gas extraction",2832.5,1855.5,2051.7,3497.9,4178.7,4097.4,6319.6,8619.6,12694.8,14624.2,17073.6,23784.2,15062.6,18191.9,21286.7,19838.4,24891.5,29439.7,16551.0,14562.6,18569.2,(NA)
 "40000","Oklahoma",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",8,"212","   Mining (except oil and gas)",116.2,156.7,179.5,186.5,199.5,204.6,227.4,248.1,285.4,325.2,359.1,400.7,453.1,447.5,503.4,389.2,425.4,363.7,410.4,445.4,358.6,(NA)
 "40000","Oklahoma",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",9,"213","   Support activities for mining",701.8,709.5,673.5,938.4,1610.0,1300.3,1496.3,1740.1,2238.7,3699.7,4160.0,5016.4,3079.3,3428.8,4582.5,4510.3,4550.7,4988.5,3242.7,1994.4,3402.6,(NA)
 "40000","Oklahoma",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",10,"22","  Utilities",2105.1,2016.4,2180.1,2291.3,2481.3,2229.4,2400.6,2499.9,2508.3,2857.1,3063.6,3263.3,3241.1,3605.4,3883.6,4132.8,4051.5,4461.9,4129.2,4050.9,3957.4,3880.1
 "40000","Oklahoma",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",11,"23","  Construction",2991.7,3151.5,3268.5,3614.0,4106.4,4045.8,4200.7,4463.3,4911.5,5321.8,5433.5,5631.0,5739.3,5957.4,6175.0,6678.8,6992.9,7033.9,7168.9,6993.0,6797.3,7290.4
 "40000","Oklahoma",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",12,"31-33","  Manufacturing",12410.1,12002.7,12343.1,12754.4,12423.1,11562.0,12617.4,12640.3,13839.6,16180.6,15901.6,18577.6,15380.9,14150.8,15954.5,17727.9,16971.7,18044.8,18083.2,15722.5,16707.5,19127.0
 "40000","Oklahoma",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",8003.9,8131.6,7932.3,8035.9,7996.6,7333.9,7388.0,7713.1,8382.5,9011.6,9526.1,10232.9,8454.9,8288.1,9261.7,9777.6,10362.0,10788.0,10280.2,9513.9,9886.5,11611.5
 "40000","Oklahoma",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",14,"321","    Wood product manufacturing",186.1,157.6,211.3,174.8,215.0,192.9,206.2,216.2,272.0,232.5,169.1,167.5,157.2,152.6,153.2,186.3,219.1,214.8,217.2,274.9,287.7,(NA)
 "40000","Oklahoma",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",535.5,607.2,678.9,690.1,607.7,609.8,635.5,694.5,742.0,850.1,779.7,715.1,757.7,762.6,743.9,716.5,780.7,893.3,985.7,1073.5,1086.4,(NA)
 "40000","Oklahoma",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",16,"331","    Primary metal manufacturing",232.0,242.8,196.2,232.1,219.6,168.8,230.2,363.4,296.0,427.6,340.3,468.5,269.0,288.9,363.0,420.9,359.5,377.8,309.9,296.9,330.5,(NA)
