GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "44000","Rhode Island",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",1,"...","All industry total",28929.9,30719.9,32295.5,34516.4,35992.1,38132.1,40272.8,43245.6,45162.4,47711.8,47845.6,47107.8,47901.4,49571.8,50175.9,51642.0,53209.9,54573.3,56805.7,57727.3,59254.5,61020.9
 "44000","Rhode Island",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",2,"..."," Private industries",24520.3,26194.5,27529.2,29409.1,30690.7,32579.0,34370.1,36937.9,38572.3,40846.4,40731.2,39916.1,40930.1,42389.9,42850.0,44325.9,45844.5,47127.8,49231.1,50220.3,51543.9,53127.3
 "44000","Rhode Island",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",99.1,111.5,121.1,139.1,128.7,125.1,121.9,116.9,109.1,120.1,101.9,113.2,106.4,113.5,109.5,102.5,101.1,100.4,114.1,114.0,116.4,(D)
 "44000","Rhode Island",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",4,"111-112","   Farms",28.1,26.4,25.7,27.0,29.4,33.4,36.4,42.8,39.0,38.9,34.8,51.1,45.5,47.6,47.9,44.1,47.5,45.3,52.5,44.9,46.0,(NA)
 "44000","Rhode Island",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",70.9,85.2,95.4,112.0,99.2,91.7,85.5,74.0,70.1,81.3,67.1,62.2,60.9,65.8,61.6,58.4,53.6,55.1,61.6,69.2,70.5,(NA)
 "44000","Rhode Island",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",13.3,15.3,16.7,16.5,15.2,20.2,20.5,28.9,27.9,27.8,31.4,37.3,38.4,26.0,18.8,24.2,17.8,37.8,47.7,44.7,40.9,(D)
 "44000","Rhode Island",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",7,"211","   Oil and gas extraction",0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.1,(L),(L),1.0,1.4,1.1,0.4,0.1,0.0,(NA)
 "44000","Rhode Island",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",8,"212","   Mining (except oil and gas)",10.1,11.6,13.1,12.4,13.9,18.9,19.4,28.4,27.8,27.7,31.1,37.0,38.3,26.0,18.7,23.3,16.4,36.7,47.2,44.6,40.9,(NA)
 "44000","Rhode Island",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",9,"213","   Support activities for mining",3.3,3.7,3.6,4.1,1.3,1.2,1.0,0.5,(L),(L),(L),0.1,(L),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NA)
 "44000","Rhode Island",1,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",10,"22","  Utilities",490.8,458.5,481.5,548.5,577.5,455.1,508.2,547.6,547.1,658.8,640.5,703.0,749.8,799.6,778.4,746.6,787.5,827.4,861.5,859.8,868.2,938.1
