GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "48000","Texas",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",1,"...","All industry total",610256.5,645696.9,681335.4,738871.0,773006.7,787257.8,829764.4,906321.0,986401.3,1085294.9,1178583.1,1237394.9,1163401.3,1237196.8,1331220.6,1411378.7,1502249.8,1565390.2,1568146.5,1564395.8,1654494.4,1775796.5
 "48000","Texas",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",2,"..."," Private industries",539638.2,572808.9,603847.3,655779.5,684760.6,692501.0,729294.6,802089.2,876490.1,969399.5,1054511.8,1105669.2,1023692.2,1091316.7,1184471.3,1259816.3,1345637.6,1403714.1,1398227.7,1388674.5,1473180.1,1591095.2
 "48000","Texas",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",6477.3,5895.3,6585.8,6322.4,6182.8,6841.4,8302.9,9603.8,8163.1,7179.6,8089.9,6299.9,5523.4,9038.3,8464.6,8217.5,10898.2,10403.3,11888.3,8709.7,9196.5,9184.3
 "48000","Texas",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",4,"111-112","   Farms",5508.4,4847.7,5447.7,5168.7,5253.3,5877.3,7284.8,8542.2,7025.1,5806.8,6759.7,4987.4,4117.4,7553.7,7030.9,6704.5,9443.0,8829.1,10203.8,7008.0,7436.8,(NA)
 "48000","Texas",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",968.8,1047.6,1138.1,1153.6,929.5,964.1,1018.1,1061.6,1137.9,1372.7,1330.3,1312.5,1406.0,1484.7,1433.6,1513.0,1455.1,1574.2,1684.5,1701.7,1759.6,(NA)
 "48000","Texas",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",36140.8,27810.7,30542.2,43549.8,51954.1,48063.5,62443.8,72830.4,99369.1,116318.4,137330.3,177654.4,112574.8,122076.4,146001.3,158860.9,183266.0,199598.1,116144.3,92076.1,117454.2,148274.9
 "48000","Texas",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",7,"211","   Oil and gas extraction",29178.0,20692.5,23932.8,36402.3,42511.5,40622.4,54059.8,62736.4,85141.1,94903.7,111697.5,147648.3,90926.4,97720.5,114140.1,123211.5,145973.4,156897.3,85374.0,72556.9,95042.8,(NA)
 "48000","Texas",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",8,"212","   Mining (except oil and gas)",749.6,849.5,1054.6,909.7,960.3,919.7,1047.6,1263.7,1493.7,1825.5,2039.0,2255.9,2497.0,2416.5,2248.2,2421.8,2493.5,2328.0,2597.4,2230.2,2414.1,(NA)
 "48000","Texas",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",9,"213","   Support activities for mining",6213.1,6268.7,5554.9,6237.8,8482.4,6521.4,7336.3,8830.3,12734.4,19589.2,23593.8,27750.3,19151.4,21939.4,29613.0,33227.5,34799.2,40372.9,28172.8,17289.0,19997.3,(NA)
 "48000","Texas",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",10,"22","  Utilities",15602.1,15181.3,17255.2,18656.9,20216.7,18057.4,18982.6,19708.4,19793.7,22952.7,22856.1,22020.9,22443.5,24348.7,26418.9,24615.9,25135.3,25571.7,25977.6,26499.9,27710.5,29026.6
 "48000","Texas",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",11,"23","  Construction",25984.8,30236.2,33920.5,38385.2,41465.2,42389.8,44007.9,43584.9,49370.4,56938.1,64605.4,64837.1,59866.3,55702.3,56842.5,63587.9,68102.7,75385.2,81437.2,85403.9,87514.2,94227.0
 "48000","Texas",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",12,"31-33","  Manufacturing",103114.0,106954.3,100529.6,105414.6,106037.0,105120.4,109175.4,141208.1,146231.7,167526.9,181647.3,163062.1,154701.2,176482.5,203495.1,206104.1,224082.9,202685.1,212856.2,197313.7,212467.6,230446.4
 "48000","Texas",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",54828.8,59003.4,54119.5,60004.0,54055.3,55904.4,55085.6,65122.1,70864.4,82338.0,83765.2,87586.7,78671.7,83292.6,92592.4,95668.9,101829.0,103998.2,102114.0,101356.3,106000.6,113766.1
 "48000","Texas",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",14,"321","    Wood product manufacturing",1345.1,1573.7,1667.3,1544.5,1414.3,1481.0,1514.7,1586.6,1620.5,1569.0,1502.0,1410.3,1352.0,1253.1,1290.3,1515.8,1681.9,1647.8,1573.2,2048.3,2279.7,(NA)
 "48000","Texas",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",3008.8,3300.4,3859.4,3797.1,3709.2,4100.0,3616.0,4043.8,4740.1,4752.8,4682.4,4613.5,3678.2,3382.1,3328.8,3844.4,4694.0,5367.7,5854.3,5999.1,6297.1,(NA)
 "48000","Texas",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",16,"331","    Primary metal manufacturing",1919.2,2012.3,1790.5,2058.0,2121.8,1917.5,1769.1,3230.8,2850.8,3603.4,3673.7,4489.1,2967.9,3289.9,4144.0,4127.6,3812.5,3857.5,3513.0,2872.8,2967.5,(NA)
 "48000","Texas",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",7219.4,7795.3,7298.2,8021.9,8038.4,7620.2,7258.5,7546.2,9207.2,10500.1,12232.8,12446.5,10822.1,10581.1,12591.8,14587.8,14602.8,15276.7,13537.8,11970.2,12781.4,(NA)
 "48000","Texas",6,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",18,"333","    Machinery manufacturing",6178.8,6419.0,6504.2,7559.3,7008.8,6296.2,6502.0,9409.7,10868.8,13135.5,15244.2,15192.1,12899.1,15224.6,18555.2,19656.5,20068.5,21066.0,16755.8,14628.7,14756.1,(NA)
