GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "49000","Utah",7,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",1,"...","All industry total",57699.7,62291.4,66022.6,70291.8,73226.0,75998.8,79149.1,85701.9,94194.9,106124.2,114652.7,115985.4,113332.9,117960.5,124539.4,128721.0,134252.1,141342.9,149523.7,157901.7,165702.6,177336.2
 "49000","Utah",7,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",2,"..."," Private industries",48577.3,52901.7,56088.9,59742.3,62091.2,64327.2,67034.0,72971.5,80564.0,91597.2,99450.5,99910.1,96963.0,101053.1,107005.3,111290.6,116578.3,122954.5,130520.9,138033.2,145035.0,155745.9
 "49000","Utah",7,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",500.5,514.2,512.1,495.3,581.3,448.4,466.7,599.0,551.2,456.9,528.9,532.6,370.2,566.7,778.8,718.3,972.0,1047.5,983.4,787.5,790.6,782.3
 "49000","Utah",7,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",4,"111-112","   Farms",397.8,416.9,415.3,398.1,491.3,369.7,406.1,560.1,511.3,400.5,460.5,468.6,305.4,500.7,710.2,647.6,891.9,961.0,895.6,693.4,692.9,(NA)
 "49000","Utah",7,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",102.7,97.3,96.8,97.2,90.0,78.7,60.6,38.9,39.9,56.4,68.4,64.1,64.8,65.9,68.6,70.7,80.0,86.4,87.7,94.1,97.7,(NA)
 "49000","Utah",7,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",958.0,881.1,848.7,992.9,1119.9,950.2,1127.6,1507.5,2367.0,3102.7,3562.2,4159.5,3586.1,4006.8,4534.8,4061.9,3966.3,4262.7,2573.0,2156.1,2382.8,2535.2
 "49000","Utah",7,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",7,"211","   Oil and gas extraction",127.2,113.9,133.1,242.6,323.4,306.6,473.7,675.0,1047.3,1171.3,1449.2,1703.0,1138.6,1238.2,1348.5,1260.8,1403.9,1469.7,697.2,549.0,667.0,(NA)
 "49000","Utah",7,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",8,"212","   Mining (except oil and gas)",727.9,666.6,639.5,630.7,593.2,484.5,483.4,590.8,957.1,1283.6,1276.3,1452.6,1890.9,2186.4,2449.9,1951.6,1763.7,1989.2,1359.0,1278.3,1369.2,(NA)
 "49000","Utah",7,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",9,"213","   Support activities for mining",102.9,100.6,76.1,119.6,203.4,159.0,170.5,241.7,362.6,647.8,836.7,1004.0,556.7,582.2,736.3,849.5,798.7,803.9,516.8,328.8,346.5,(NA)
 "49000","Utah",7,SAGDP2N,"Gross domestic product (GDP) by state","Millions of current dollars",10,"22","  Utilities",954.6,936.0,975.2,963.9,1057.4,1049.8,951.9,1058.7,1080.1,1262.6,1293.7,1383.5,1465.6,1583.0,1652.9,1706.6,1800.8,1886.5,2001.7,2072.9,2087.1,2226.5
