census_1990_name,census_1990,final_sector
"010 Agricultural production, crops",10,14
011 Agricultural production livestock,11,14
012 Veterinary services,12,13
020 Landscape and horticultural services,20,13
"030 Agricultural services, n.e.c.",30,13
031 Forestry,31,14
"032 Fishing, hunting, and trapping",32,14
040 Metal mining,40,4
041 Coal mining,41,4
042 Oil and gas extraction,42,4
"050 Nonmetallic mining and quarrying, except fuel",50,4
060 CONSTRUCTION,60,13
100 Meat products,100,1
101 Dairy products,101,1
"102 Canned, frozen, and preserved fruits and vegetables",102,1
110 Grain mill products,110,1
111 Bakery products,111,1
112 Sugar and confectionery products,112,1
120 Beverage industries,120,1
121 Miscellaneous food preparations and kindred products,121,1
122 Not specified food industries,122,1
130 Tobacco manufactures,130,1
132 Knitting mills,132,2
"140 Dyeing and finishing textiles, except wool and knit goods",140,2
141 Carpets and rugs,141,2
"142 Yarn, thread, and fabric mills",142,2
150 Miscellaneous textile mill products,150,2
"151 Apparel and accessories, except knit",151,2
152 Miscellaneous fabricated textile products,152,2
"160 Pulp, paper, and paperboard mills",160,3
161 Miscellaneous paper and pulp products,161,3
162 Paperboard containers and boxes,162,3
171 Newspaper publishing and printing,171,13
"172 Printing, publishing and allied industries, except newspapers",172,13
"180 Plastics, synthetics, and resins",180,5
181 Drugs,181,5
182 Soaps and cosmetics,182,5
"190 Paints, varnishes, and related products",190,5
191 Agricultural chemicals,191,5
192 Industrial and miscellaneous chemicals,192,5
200 Petroleum refining,200,4
201 Miscellaneous petroleum and coal products,201,4
210 Tires and inner tubes,210,6
"211 Other rubber products, and plastics footwear and belting",211,6
212 Miscellaneous plastics products,212,6
220 Leather tanning and finishing,220,2
"221 Footwear, except rubber and plastic",221,2
"222 Leather products, except footwear",222,2
230 Logging,230,14
"231 Sawmills, planing mills, and millwork",231,3
232 Wood buildings and mobile homes,232,3
241 Miscellaneous wood products,241,3
242 Furniture and fixtures,242,12
250 Glass and glass products,250,7
"251 Cement, concrete, gypsum, and planter products",251,7
252 Structural clay products,252,7
261 Pottery and related products,261,7
262 Miscellaneous nonmetallic mineral and stone products,262,7
"270 Blast furnaces, steelworks, rolling and finishing mills",270,8
271 Iron and steel foundries,271,8
272 Primary aluminum industries,272,8
280 Other primary metal industries,280,8
"281 Cutlery, handtools, and general hardware",281,8
282 Fabricated structural metal products,282,8
291 Metal forgings and stampings,291,8
292 Ordnance,292,8
300 Miscellaneous fabricated metal products,300,8
301 Not specified metal industries,301,
310 Engines and turbines,310,9
311 Farm machinery and equipment,311,9
312 Construction and material handling machines,312,9
320 Metalworking machinery,320,9
321 Office and accounting machines,321,9
322 Computers and related equipment,322,10
"331 Machine, except electrical, n.e.c.",331,9
332 Not specified machinery,332,9
340 Household appliances,340,10
"341 Radio, TV, and communication equipment",341,10
"342 Electrical machinery, equipment, and supplies, n.e.c.",342,10
"350 Not specified electrical machinery, equipment, and supplies",350,10
351 Motor vehicles and motor vehicle equipment,351,11
352 Aircraft and parts,352,11
360 Ship and boat building and repairing,360,11
361 Railroad locomotives and equipment,361,11
"362 Guided missiles, space vehicles, and parts",362,11
370 Cycles and miscellaneous transportation equipment,370,11
371 Scientific and controlling instruments,371,12
"372 Medical, dental, and optical instruments and supplies",372,12
380 Photographic equipment and supplies,380,12
"381 Watches, clocks, and clockwork operated devices",381,12
"390 Toys, amusement, and sporting goods",390,12
391 Miscellaneous manufacturing industries,391,12
392 Not specified manufacturing industries,392,
400 Railroads,400,13
401 Bus service and urban transit,401,13
402 Taxicab service,402,13
410 Trucking service,410,13
411 Warehousing and storage,411,13
412 U.S. Postal Service,412,
420 Water transportation,420,13
421 Air transportation,421,13
"422 Pipelines, except natural gas",422,13
432 Services incidental to transportation,432,
440 Radio and television broadcasting and cable,440,13
441 Telephone communications,441,13
442 Telegraph and miscellaneous communications services,442,13
450 Electric light and power,450,
451 Gas and steam supply systems,451,
"452 Electric and gas, and other combinations",452,
470 Water supply and irrigation,470,
471 Sanitary services,471,
472 Not specified utilities,472,
500 Motor vehicles and equipment,500,13
501 Furniture and home furnishings,501,13
502 Lumber and construction materials,502,13
510 Professional and commercial equipment and supplies,510,13
"511 Metals and minerals, except petroleum",511,13
512 Electrical goods,512,13
"521 Hardware, plumbing and heating supplies",521,13
"530 Machinery, equipment, and supplies",530,13
531 Scrap and waste materials,531,13
"532 Miscellaneous wholesale, durable goods",532,13
540 Paper and paper products,540,13
"541 Drugs, chemicals and allied products",541,13
"542 Apparel, fabrics, and notions",542,13
550 Groceries and related products,550,13
551 Farm-product raw materials,551,13
552 Petroleum products,552,13
560 Alcoholic beverages,560,13
561 Farm supplies,561,13
"562 Miscellaneous wholesale, nondurable goods",562,13
571 Not specified wholesale trade,571,13
580 Lumber and building material retailing,580,13
581 Hardware stores,581,13
582 Retail nurseries and garden stores,582,13
590 Mobile home dealers,590,13
591 Department stores,591,13
592 Variety stores,592,13
600 Miscellaneous general merchandise stores,600,13
601 Grocery stores,601,13
602 Dairy products stores,602,13
610 Retail bakeries,610,13
"611 Food stores, n.e.c.",611,13
612 Motor vehicle dealers,612,13
620 Auto and home supply stores,620,13
621 Gasoline service stations,621,13
622 Miscellaneous vehicle dealers,622,13
"623 Apparel and accessory stores, except shoe",623,13
630 Shoe stores,630,13
631 Furniture and home furnishings stores,631,13
632 Household appliance stores,632,13
"633 Radio, TV, and computer stores",633,13
640 Music stores,640,13
641 Eating and drinking places,641,13
642 Drug stores,642,13
650 Liquor stores,650,13
"651 Sporting goods, bicycles, and hobby stores",651,13
652 Book and stationary stores,652,13
660 Jewelry stores,660,13
"661 Gift, novelty, and souvenir shops",661,13
"662 Sewing, needlework and piece goods stores",662,13
663 Catalog and mail order houses,663,13
670 Vending machine operators,670,13
671 Direct selling establishments,671,13
672 Fuel dealers,672,13
681 Retail florists,681,13
682 Miscellaneous retail stores,682,13
691 Not specified retail trade,691,13
700 Banking,700,13
"701 Savings institutions, including credit unions",701,13
"702 Credit agencies, n.e.c.",702,13
"710 Security, commodity brokerage, and investment companies",710,13
711 Insurance,711,13
"712 Real estate, including real estate-insurance offices",712,13
721 Advertising,721,13
722 Services to dwellings and other buildings,722,13
731 Personnel supply services,731,13
732 Computer and data processing services,732,13
740 Detective and protective services,740,13
"741 Business services, n.e.c.",741,13
"742 Automotive rental and leasing, without drivers",742,13
750 Automobile parking and carwashes,750,13
751 Automotive repair and related services,751,13
752 Electrical repair shops,752,13
760 Miscellaneous repair services,760,13
761 Private households,761,13
762 Hotels and motels,762,13
"770 Lodging places, except hotels and motels",770,13
"771 Laundry, cleaning, and garment services",771,13
772 Beauty shops,772,13
780 Barber shops,780,13
781 Funeral service and crematories,781,13
782 Shoe repair shops,782,13
790 Dressmaking shops,790,13
791 Miscellaneous personal services,791,13
800 Theaters and motion pictures,800,13
801 Video tape rental,801,13
802 Bowling centers,802,13
810 Miscellaneous entertainment and recreation services,810,13
812 Offices and clinics of physicians,812,13
820 Offices and clinics of dentists,820,13
821 Offices and clinics of chiropractors,821,13
822 Offices and clinics of optometrists,822,13
"830 Offices and clinics of health practitioners, n.e.c.",830,13
831 Hospitals,831,13
832 Nursing and personal care facilities,832,13
"840 Health services, n.e.c.",840,13
841 Legal services,841,13
842 Elementary and secondary schools,842,13
850 Colleges and universities,850,13
851 Vocational schools,851,13
852 Libraries,852,13
"860 Educational services, n.e.c.",860,13
861 Job training and vocational rehabilitation services,861,13
862 Child day care services,862,13
863 Family child care homes,863,13
"870 Residential care facilities, without nursing",870,13
"871 Social services, n.e.c.",871,13
"872 Museums, art galleries and zoos",872,13
873 Labor unions,873,13
880 Religious organizations,880,13
"881 Membership organizations, n.e.c.",881,13
882 Engineering architectural and surveying services,882,13
"890 Accounting, auditing, and bookkeeping services",890,13
"891 Research, development, and testing services",891,13
892 Management and public relations services,892,13
893 Miscellaneous professional and related services,893,13
900 Executive and legislative offices,900,
"901 General government, n.e.c.",901,
"910 Justice, public order, and safety",910,
"921 Public finance, taxation, and monetary policy",921,
922 Administration of human resources programs,922,
930 Administration of environmental quality and housing programs,930,
931 Administration of economic programs,931,
932 National security and international affairs,932,
940 Army,940,
941 Air Force,941,
942 Navy,942,
950 Marines,950,
991 Military,991,
,,0
