st_name,code
Maine,11
NewHampshire,12
Vermont,13
Massachusetts,14
RhodeIsland,15
Connecticut,16
NewYork,21
NewJersey,22
Pennsylvania,23
Ohio,31
Indiana,32
Illinois,33
Michigan,34
Wisconsin,35
Minnesota,41
Iowa,42
Missouri,43
NorthDakota,44
SouthDakota,45
Nebraska,46
Kansas,47
Delaware,51
Maryland,52
District of Columbia,53
Virginia,54
WestVirginia,55
NorthCarolina,56
SouthCarolina,57
Georgia,58
Florida,59
Kentucky,61
Tennessee,62
Alabama,63
Mississippi,64
Arkansas,71
Louisiana,72
Oklahoma,73
Texas,74
Montana,81
Idaho,82
Wyoming,83
Colorado,84
NewMexico,85
Arizona,86
Utah,87
Nevada,88
Washington,91
Oregon,92
California,93
Alaska,94
Hawaii,95
