"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25613588.5845073,898.978359486279,9298.57034311565,5819.00524253963,69622.5620798083,11389.5437019632,10934.0052911529,3503.55939380313,53110.3127671066,40183.7258353878,1610.36876858116,1700.59121954688,39182.6716091041,14079.2180727512,6004.80231007493,5783.88492268322,9732.20486416927,11030.0881449262,2247.44125634734,15321.371717452,18733.9726273625,22384.2969984141,12806.6434107311,6964.72764300492,15598.2441439172,1151.91647231431,3942.56277478946,4871.33389250842,2924.38180770871,26343.7132021782,2657.57873010252,61028.5548691577,21616.6704887413,1033.70661940313,29041.7867051871,6200.21114402755,4948.8185961712,28820.4684640381,2358.03676574906,9786.09604135665,1526.65219946622,21428.3547082198,51461.2405036595,3805.19852763881,1136.8105090429,21331.8859691971,11017.5160706168,2999.92649435634,11749.4175481792,779.847778293793,12724.0182754483,4094.48170604933,7646.66188116861,277.331926743214,9380.58142536805,33879.9491225605,21781.7415118526,226.667014143215,1438.97686322493,35535.5381302599,3879.10300747619,19199.0976759678,221.860770947102,2701.04946322395,37606.2350301006,47124.8485154808,3378.93895505416,1140.43724484564,2042.79115575232,5357.61624073042,3045.89213673602,32473.5209114632,94310.4307523645,12647.5230024533,255.672911485072,23482.4027277544,9198.32643896559,2960.80614702033,3410.43927440448,592.876279569104,53777.6435776638,6044.84052114191,393.72854244824,404.976653855071,5243.73270586165,5022.59658878931,4904.39401237784
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4121.98676836031,3674528.54021165,7527.47430612301,2515.34362474023,65320.781265743,8470.07124714924,6738.82040844133,1955.05561551673,22043.24357431,12133.8138970114,1912.77356775821,1675.67645714005,20685.0727529718,6805.27739044122,3565.90715067868,3312.89679800396,3981.53759202789,4327.96636919675,1528.43026513907,8286.2056402576,11977.7944071979,12777.414071284,8718.99899473482,2208.60839161982,7632.94914901418,1113.19916988838,2513.85908705848,4418.58349969942,1904.7871494773,15435.3003674741,1913.01834111577,36795.1044646254,9483.38168864509,824.809477738489,14711.2358905246,3345.47905386944,5579.444930829,16147.0408000919,1488.04661516105,3882.90317702544,1097.65392663439,7125.74358187255,27343.9799610475,3323.66694644937,746.310494208031,10740.5929222115,12838.8966542554,1447.88981420307,7094.60131843968,641.950845564568,13921.3029067377,4193.90853786034,7667.540449538,286.140834525374,7542.38839251867,25485.0234445158,27125.2885069043,235.665366073668,1476.84254656037,36200.484052238,4032.89806452696,18285.189224862,240.319541400935,2936.09119244926,37133.2348128031,46854.2355230934,3447.92129359587,1175.53466742086,2385.2358382122,6113.02675711642,2995.35565557151,32439.6877673966,122513.741044137,16195.4324288221,272.630131987284,15224.8077517869,9268.82095762348,3090.60810614278,3170.20262451727,616.950847491469,49978.3146200977,6841.39682073556,406.001549884254,411.169586632164,5553.74029433174,5244.97518749579,6054.83577359601
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5670.60247541525,1001.16336218084,32209741.0711631,3708.69569867254,131207.736059385,14825.3342425316,7818.27796143369,2342.71648749565,29214.8234271984,16155.4725531016,1897.88770603946,2359.53030402193,26936.275585681,8804.70323943829,4829.92509691138,5020.48597477993,5224.05570126049,6403.61478367337,1707.39445789035,10023.8151051525,13711.2979167835,15734.3880331859,11142.511310546,3155.12205962341,10805.1902861815,1424.91901644857,3650.52979402066,9851.68079077622,2165.46525633294,18217.2135275843,4261.5216388208,43076.9081602213,12010.5237857079,1037.00546028527,18398.4352102204,5303.15941062586,6740.78260988274,19371.2755381924,1711.60937279434,5013.94772283943,1509.12111851514,9629.79485398859,45516.6868899666,6027.56747110596,846.470446926455,13216.5221274659,14266.2559334307,1808.27046953603,8963.50637391935,989.124372448102,13553.9345802841,3842.0571504159,7099.58241127956,261.711922575733,8529.23647961677,28096.7240759478,22694.1610619848,215.258945820728,1350.03602897797,33205.1087405999,3646.5369209115,17552.0494209645,211.745062293611,2579.64045254512,34759.2852129928,43539.1495079097,3180.30396322704,1073.25586215712,2135.80030357839,5346.54505910958,2799.70985378715,30231.7023893703,100485.691568974,13329.8997172709,243.070284842516,26291.019111769,8551.92594270437,2794.14172130384,3086.90424371488,560.792255599338,49468.0865449859,5888.60040807414,370.425562242464,378.994951696312,4959.69308864268,4769.46606424799,5152.7038984867
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9917.66399919198,934.976314891221,10364.9884040254,15335453.2205919,75962.2802127253,13404.4547044831,10144.9728177021,3159.09972107489,40924.6377812538,25826.5357302347,1665.65890679129,1873.45294521069,42107.8732094074,13888.0270195985,7017.16412509906,7905.03830574969,8720.79705702572,11430.4107904392,2132.83500090621,13733.2756385523,17517.5888606565,22203.3003546908,14279.3713111869,6350.88536881672,20939.1617996044,1270.35706531027,4837.53410706647,5379.28628500771,2753.13070766754,24126.4945431438,3092.44699038837,56666.3260707355,17536.1379401071,1148.41332917947,27114.2510514536,9500.14487361571,5349.05955786914,26395.2790281293,2195.52510817535,7483.30290018846,1763.12230043538,18761.0059632877,63293.3008318922,4269.27791215723,1077.80562918714,18554.4103826956,11889.7091424825,2638.99240651846,12534.6182825147,890.334772691511,12880.883217866,4057.68148196451,7563.7312001881,274.979877104959,9104.27408498196,33246.7411847043,22087.2672895387,224.885022812458,1426.47589340927,35205.0996113452,3851.96348590304,18874.7367458439,221.190675011199,2694.0034909838,37130.6386432278,46586.5503838229,3346.16994455125,1130.86174085869,2067.62415760992,5373.57068035438,3008.19626103514,32093.5073467961,96110.601341585,12861.2275961792,254.456188917227,24320.2001865563,9103.95068940271,2940.28745376971,3343.68417813186,588.398758646645,52400.7817051423,6049.2090395975,390.452102867096,400.946132133261,5217.06018543619,4985.72249199215,4978.77967817139
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5175.26526458508,1058.95286183867,15992.9667220538,3312.98877504961,281658900.984646,12843.1527443554,7435.39822520044,2212.87637933499,27009.1255237517,14879.7654905522,2003.21304579157,2521.63859542001,24986.2868152101,8172.27754018565,4451.99105442363,4462.36279263174,4827.66962158223,5719.40893589769,1635.97851838851,9447.91101798593,13075.9733832737,14786.4257824759,10472.726263909,2847.60089410957,9791.87849466655,1454.21628969076,3314.25662744647,10207.6735996353,2067.74134134214,17263.0494463541,3197.27121051558,40887.0375019035,11202.2568615741,994.029660857018,17209.5740598016,4624.65893391776,8067.24101809066,18289.723323485,1630.79305458205,4655.29681628442,1407.01143059286,8825.90932126149,38843.2489888478,5715.8609535638,808.472382290548,12409.2240037458,16080.9159710778,1691.66742325877,8396.6678299408,928.393208847111,13756.5174355442,3826.20223378301,7053.17581008618,260.914338888091,8289.89178539565,28067.5842509158,23214.5883109743,214.876891865681,1344.63118103751,33042.8034433887,3635.73740418444,17348.7085236241,212.009834649333,2583.55563952702,34480.4470267673,43212.5113896697,3167.17054561865,1069.60608654048,2176.6717491132,5411.80491736868,2775.52744790945,30030.4712708758,103426.655020975,13681.5718320018,243.044806456571,24615.9532862107,8499.9752768931,2787.78257482374,3043.63277148631,559.555700417372,48752.9254285863,5928.59902712791,369.165106519785,377.098577378005,4953.94589231697,4762.41637169484,5275.35979835763
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6341.79865332892,1028.57468550005,13536.2259550271,4379.19852044621,96204.4492875952,52688713.2031065,8711.78415163672,2616.49380666791,31302.6194161934,17993.5032062485,1794.21596430039,2603.08303043613,32469.4244401206,10383.1677931399,6202.09558054662,6761.50376292515,6042.35927045281,7026.87791944192,1895.97080089086,11235.5482082919,15240.1138321553,18480.344678205,14183.0457299875,3539.17325159832,13388.3147556618,1718.09213679152,5245.61558120696,7268.86947484765,2411.51594978773,20341.0509866068,4355.58898651473,48280.8248040812,13391.0774811258,1347.00626816441,21262.6539045178,6561.5080327227,6731.32069869848,21838.756351839,1901.22558226038,5565.59990867587,2121.63067308936,11045.2449835995,48877.3372005924,6666.34188381987,947.33939162851,14796.1700694095,14845.0470127221,2054.34300971074,10922.6004435702,1583.97937037914,13216.1992000668,4000.62471658266,7425.02389811809,271.532504290153,8605.87660975516,31604.0358477562,22840.520457435,222.459716845811,1407.02713188928,34672.6779153143,3810.15195120309,18321.9998100191,220.610003023901,2688.86580229389,36328.3648771207,45657.7979913008,3296.67019631744,1116.42791670326,2127.52310946771,5441.41804003925,2941.69760628695,31475.8145364262,100412.608946017,13377.2757654893,252.97696589072,23171.3689099587,8946.54884685161,2910.42247566685,3228.55975501479,582.052771341508,50364.0540063551,6086.2985123999,385.498259508808,394.575829812075,5180.06477437036,4936.1124866057,5157.74866491537
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6734.30292756241,905.190307487749,7896.07842172103,3666.0941499478,61607.6989336219,9636.38961648141,55339348.5140748,5899.04289399778,36368.2092668894,21223.1883092617,1524.28972996047,1553.84140777836,33863.3016881877,11922.6910965324,5131.89075927122,4461.87865770796,7169.54333154957,6292.33036016079,4288.57187172689,22611.5990549851,51329.2501670939,23791.7582804799,11989.4468708994,3380.80868782547,11326.8029461145,1070.05371977955,3290.08276903838,4286.29920474657,6832.94455972508,62206.8270946554,2172.61541589554,162466.174362686,19560.8438924358,978.71444653238,29598.4827720505,4482.72003779165,4601.29594071772,48322.6611221625,7166.57953872464,7376.51368829697,1363.4803510317,12213.1491303613,36012.7300317306,3357.12797707874,2381.24145815033,25999.4393381786,10368.4886276479,3163.64076461144,11215.0995348609,690.481466637398,12306.5649223138,4448.14818716165,8404.64821328163,298.753832969616,9380.41135616137,48186.2002477743,22239.2451978231,242.012330308701,1566.27582124635,38866.5055248836,4241.39284104843,21080.474029975,240.367498077639,2927.92678591254,41318.1623039199,52169.5082311302,3633.49838562708,1235.72610619923,2071.35726840161,5581.5557065228,3392.16558920857,35317.5444953422,95001.860823432,12831.3793225789,276.766019358127,18544.2765028919,10112.6363408188,3215.14490581144,3771.42906594941,639.00162958208,53942.1395475044,6447.3647856045,427.049797871228,440.019758098983,5719.24556697648,5379.62275802486,4971.20528913343
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7397.02683607847,900.221685311649,8110.62686405491,3913.36541909588,62852.4555003197,9921.13357924191,20221.6177022306,12998923.9537673,39557.8880797005,23788.6492527806,1537.21334646944,1577.36846618617,35951.6003968654,12955.7037485013,5357.49702660875,4675.54479004263,8036.52866118293,6728.93337978273,3312.83414182595,38662.5986825554,30960.985176969,25170.6339150894,12286.9514443081,3653.05040425139,12045.6343436848,1083.91629604129,3415.32719662769,4377.50465642398,4644.19915733262,66268.1359068894,2244.96043623877,119365.699923681,23693.2035085953,992.893102919974,33058.3948470809,4715.5609273407,4653.84799633828,68437.505581833,4016.72800718966,8524.43997731491,1399.33493937026,13625.9267700723,37900.5569451552,3429.15190487393,1763.14081373545,36800.90919109,10464.2312042083,3905.37837275556,11659.5415523552,705.798454338918,12372.4514361487,4362.40487169901,8218.65229213722,293.647380030491,9429.01710044531,45352.67040265,22081.6572842605,238.420252048547,1535.17974655641,38047.7920605759,4150.64594001419,20645.9956970399,235.664140028241,2870.01204764045,40422.5158494794,50916.3036556179,3573.87542513941,1212.64553433243,2059.78871035256,5524.48005535081,3305.61341965967,34643.6458744938,94574.8258650026,12755.4027762486,271.494493151332,19286.6086737996,9887.0178507097,3152.36865174946,3688.5751535735,627.887455750262,54007.0727558239,6344.10371906168,418.953169651846,431.598104212782,5598.88890580067,5294.81316491436,4943.34722864681
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9417.66047618557,852.476300035259,8494.82455591824,4257.83053555612,64430.5857505357,9968.70460800892,10470.6277311693,3322.38194201453,134153213.808421,29411.2591647707,1559.50121731542,1547.14004500978,31152.7280572078,10969.3815816508,4914.76349660745,4693.85195749833,7134.37760122732,8577.63554669613,2163.01205309197,14279.8770005172,18048.5178212086,18935.1012230024,10914.8894411085,4521.03514572249,11847.8072236294,1040.10676754908,3289.35715276264,4462.40421657501,2801.5256196932,25057.8311820652,2361.69171290136,57570.3133344735,19587.9654941124,907.483146878923,24054.8532304524,5013.52946899633,4573.43657202738,26445.4721389231,2277.35850167711,8965.95353209394,1310.70399410833,13746.4623464,43690.6021786354,3432.00302633759,1076.01054780776,19666.9074824992,10164.9946348864,2563.00663650475,9810.0251215905,690.641621237857,12631.1401029491,4076.7845780982,7612.43088282584,276.510535004505,9811.03546050297,30791.8559184533,21307.7491972554,226.296870578362,1431.43741532329,35338.7789494986,3844.77285301567,19291.1004648088,219.120912634722,2665.7051413184,37542.0144464722,46870.7151867829,3376.39006723201,1135.25896687043,2008.02743266571,5300.95750114886,3029.29739640131,32453.7905815222,91888.8260796956,12339.9755224497,253.217755632555,22888.9852615441,9148.61739602653,2939.42345650736,3434.59403750176,590.243322607414,56645.0229754526,5962.24537534271,391.801224796289,403.78455104123,5185.94399246361,5006.65618689466,4797.87112598653
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13536.2992331416,891.435074542867,8923.93478260139,5104.52408719135,67431.5615493279,10885.7748040099,11607.7221285431,3795.52465755832,55872.6399507866,91283657.6784095,1587.39015308254,1653.74053844417,38320.9327855068,14058.7815410411,5787.79475564909,5409.55682355859,9908.05253713327,9266.88032007123,2350.67779271481,16670.7835924272,19778.6660351078,22835.8678091246,12530.2101637594,5403.65212582711,14463.5845958732,1122.93862752046,3760.24783660281,4707.84524184269,3075.30031887615,28225.1716680678,2523.67670379468,64813.0614330632,25814.0823843322,1010.82205361046,30333.4782821354,5685.11104893219,4834.10000835705,30864.5736544109,2496.14124237016,12793.0117787647,1476.82093631829,21083.7548274602,46818.825233418,3674.32474134722,1191.22140881958,23748.5917034975,10782.1090256323,3282.24513374676,11638.9444815935,752.681999294653,12634.7684419645,4137.30426121615,7737.84132583733,280.002610049855,9464.30045669213,34932.349447809,21747.4404071165,228.641675212043,1454.11555198168,35929.2598608842,3919.32560605841,19462.6953160432,223.745495718395,2723.78898539926,38074.2423368832,47720.5215522007,3412.19063369799,1151.92875183328,2038.49510963761,5376.49556775536,3086.6303336294,32842.3382746381,93913.7368965529,12610.3820769421,257.956564440224,22414.8281520501,9306.54638545067,2989.86545638295,3462.09748263311,598.44897262384,54184.4838832976,6081.9889611097,397.718353592506,409.333212689457,5294.16038619921,5066.9240390212,4891.26998742303
