GeoFips,GeoName,LineCode,Description,Jobs
0,United States,,Employment by place of work,
0,United States,10,Total employment (number of jobs),165370800
0,United States,,By type,
0,United States,20,  Wage and salary employment,137610000
0,United States,40,  Proprietors employment,27760800
0,United States,50,    Farm proprietors employment,2224000
0,United States,60,    Nonfarm proprietors employment 2/,25536800
0,United States,,By industry,
0,United States,70,  Farm employment,3117000
0,United States,80,  Nonfarm employment,162253800
0,United States,90,    Private nonfarm employment,139316800
0,United States,100,"      Agricultural services, forestry, and fishing",1944100
0,United States,110,        Agricultural services,1736500
0,United States,120,        Forestry and fishing,207600
0,United States,121,          Forestry,89800
0,United States,122,          Fishing,117800
0,United States,200,      Mining,780200
0,United States,210,        Metal mining,46000
0,United States,220,        Coal mining,80400
0,United States,230,        Oil and gas extraction,532800
0,United States,240,"        Nonmetallic minerals, except fuels",121000
0,United States,300,      Construction,9387200
0,United States,310,        General building contractors,2026200
0,United States,320,        Heavy construction contractors,981300
0,United States,330,        Special trade contractors,6379700
0,United States,400,      Manufacturing,19038800
0,United States,410,        Durable goods manufacturing,11489300
0,United States,413,          Lumber and wood products,908000
0,United States,417,          Furniture and fixtures,601300
0,United States,420,"          Stone, clay, and glass products",608800
0,United States,423,          Primary metal industries,705800
0,United States,426,          Fabricated metal products,1590000
0,United States,429,          Industrial machinery and equipment,2144700
0,United States,432,          Electronic and other electric equipment,1742900
0,United States,435,          Motor vehicles and equipment,1020200
0,United States,438,          Other transportation equipment,845500
0,United States,441,          Instruments and related products,842800
0,United States,444,          Miscellaneous manufacturing industries,479300
0,United States,447,          Ordnance 3/,(NA)
0,United States,450,        Nondurable goods manufacturing,7549500
0,United States,453,          Food and kindred products,1724600
0,United States,456,          Tobacco products,35800
0,United States,459,          Textile mill products,541500
0,United States,462,          Apparel and other textile products,680000
0,United States,465,          Paper and allied products,662800
0,United States,468,          Printing and publishing,1634100
0,United States,471,          Chemicals and allied products,1052800
0,United States,474,          Petroleum and coal products,127400
0,United States,477,          Rubber and miscellaneous plastics products,1018500
0,United States,480,          Leather and leather products,72000
0,United States,500,      Transportation and public utilities,8242300
0,United States,510,        Railroad transportation,209900
0,United States,520,        Trucking and warehousing,2617000
0,United States,530,        Water transportation,207400
0,United States,540,        Other transportation,2575600
0,United States,541,          Local and interurban passenger transit,648800
0,United States,542,          Transportation by air,1318100
0,United States,543,"          Pipelines, except natural gas",13000
0,United States,544,          Transportation services,595700
0,United States,560,        Communications,1755400
0,United States,570,"        Electric, gas, and sanitary services",877000
0,United States,610,      Wholesale trade,7539100
0,United States,620,      Retail trade,26984200
0,United States,621,        Building materials and garden equipment,1101800
0,United States,622,        General merchandise stores,2977600
0,United States,623,        Food stores,3677300
0,United States,624,        Automotive dealers and service stations,2660600
0,United States,625,        Apparel and accessory stores,1319700
0,United States,626,        Home furniture and furnishings stores,1264600
0,United States,627,        Eating and drinking places,8626200
0,United States,628,        Miscellaneous retail,5356400
0,United States,700,"      Finance, insurance, and real estate",13139500
0,United States,710,        Depository and nondepository institutions,2802500
0,United States,730,"        Other finance, insurance, and real estate",10337000
0,United States,731,          Security and commodity brokers,916500
0,United States,732,          Insurance carriers,1596000
0,United States,733,"          Insurance agents, brokers, and services",1313300
0,United States,734,          Real estate,4805000
0,United States,735,"          Combined real estate, insurance, etc. 4/",(NA)
0,United States,736,          Holding and other investment offices,1706200
0,United States,800,      Services,52261400
0,United States,805,        Hotels and other lodging places,2026600
0,United States,810,        Personal services,2858100
0,United States,815,        Private households,1208000
0,United States,820,        Business services,12331300
0,United States,825,"        Automotive repair, services, and parking",1698500
0,United States,830,        Miscellaneous repair services,816800
0,United States,835,        Amusement and recreation services,3142400
0,United States,840,        Motion pictures,695200
0,United States,845,        Health services,11225000
0,United States,850,        Legal services,1464200
0,United States,855,        Educational services,3094700
0,United States,860,        Social services 5/,2935000
0,United States,865,"        Museums, botanical, zoological gardens",106000
0,United States,870,        Membership organizations,2468000
0,United States,875,        Engineering and management services 6/,5218200
0,United States,880,        Miscellaneous services,973400
0,United States,900,    Government and government enterprises,22937000
0,United States,910,      Federal civilian,2893000
0,United States,920,      Military,2067000
0,United States,930,      State and local,17977000
0,United States,931,        State government,4949000
0,United States,932,        Local government,13028000
1000,Alabama,,Employment by place of work,
1000,Alabama,10,Total employment (number of jobs),2392225
1000,Alabama,,By type,
1000,Alabama,20,  Wage and salary employment,2008801
1000,Alabama,40,  Proprietors employment,383424
1000,Alabama,50,    Farm proprietors employment,48927
1000,Alabama,60,    Nonfarm proprietors employment 2/,334497
1000,Alabama,,By industry,
1000,Alabama,70,  Farm employment,57264
1000,Alabama,80,  Nonfarm employment,2334961
1000,Alabama,90,    Private nonfarm employment,1949171
1000,Alabama,100,"      Agricultural services, forestry, and fishing",25977
1000,Alabama,110,        Agricultural services,20548
1000,Alabama,120,        Forestry and fishing,5429
1000,Alabama,121,          Forestry,3804
1000,Alabama,122,          Fishing,1625
1000,Alabama,200,      Mining,9845
1000,Alabama,210,        Metal mining,124
1000,Alabama,220,        Coal mining,3908
1000,Alabama,230,        Oil and gas extraction,2790
1000,Alabama,240,"        Nonmetallic minerals, except fuels",3023
1000,Alabama,300,      Construction,154613
1000,Alabama,310,        General building contractors,35635
1000,Alabama,320,        Heavy construction contractors,18086
1000,Alabama,330,        Special trade contractors,100892
1000,Alabama,400,      Manufacturing,368969
1000,Alabama,410,        Durable goods manufacturing,199706
1000,Alabama,413,          Lumber and wood products,39614
1000,Alabama,417,          Furniture and fixtures,11798
1000,Alabama,420,"          Stone, clay, and glass products",9880
1000,Alabama,423,          Primary metal industries,25881
1000,Alabama,426,          Fabricated metal products,24661
1000,Alabama,429,          Industrial machinery and equipment,27216
1000,Alabama,432,          Electronic and other electric equipment,21134
1000,Alabama,435,          Motor vehicles and equipment,14975
1000,Alabama,438,          Other transportation equipment,14969
1000,Alabama,441,          Instruments and related products,3503
1000,Alabama,444,          Miscellaneous manufacturing industries,6075
1000,Alabama,447,          Ordnance 3/,(NA)
1000,Alabama,450,        Nondurable goods manufacturing,169263
1000,Alabama,453,          Food and kindred products,38371
1000,Alabama,456,          Tobacco products,(D)
1000,Alabama,459,          Textile mill products,38276
1000,Alabama,462,          Apparel and other textile products,25724
1000,Alabama,465,          Paper and allied products,19081
1000,Alabama,468,          Printing and publishing,16018
1000,Alabama,471,          Chemicals and allied products,12232
1000,Alabama,474,          Petroleum and coal products,1509
1000,Alabama,477,          Rubber and miscellaneous plastics products,17313
1000,Alabama,480,          Leather and leather products,(D)
1000,Alabama,500,      Transportation and public utilities,115717
1000,Alabama,510,        Railroad transportation,3514
1000,Alabama,520,        Trucking and warehousing,51057
1000,Alabama,530,        Water transportation,2414
1000,Alabama,540,        Other transportation,17194
1000,Alabama,541,          Local and interurban passenger transit,4342
1000,Alabama,542,          Transportation by air,8488
1000,Alabama,543,"          Pipelines, except natural gas",72
1000,Alabama,544,          Transportation services,4292
1000,Alabama,560,        Communications,24786
1000,Alabama,570,"        Electric, gas, and sanitary services",16752
1000,Alabama,610,      Wholesale trade,105185
