"GEO_ID","NAME","GEO_ID_F","NAICS2012","INDLEVEL","NAICS2012_LABEL","NAICS2012_F","SUBSECTOR","INDGROUP","SECTOR","COMM","COMM_LABEL","YEAR","VAL","TON","TMILE","AVGMILE","VAL_S","TON_S","TMILE_S","AVGMILE_S"
"id","Geographic Area Name","Geo Footnote","2012 NAICS code","Industry level","Meaning of NAICS code","2012 NAICS Footnote","SUBSECTOR","Industry group","NAICS economic sector ","Commodity code","Meaning of Commodity code","Year","Value ($ million)","Tons (thousands)","Ton-miles (millions)","Average miles per shipment (number)","Coefficient of variation for Value","Coefficient of variation for Tons","Coefficient of variation for Ton-miles","Coefficient of variation for Average miles per shipment"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","0000","All Commodities","2017","14517812","12468902","3116876","679","1.0","1.3","1.8","3.4"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","01","Animals and fish (live)","2017","10777","4573","1570","866","29.9","32.4","26.5","12.3"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","02","Cereal grains (includes seed)","2017","108561","707113","230498","158","2.5","1.8","8.2","17.8"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","03","Agricultural products (excludes animal feed, cereal grains, and forage products)","2017","236965","315168","145852","524","4.8","4.4","7.4","11.1"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","04","Animal feed, eggs, honey, and other products of animal origin","2017","134423","325312","78947","514","2.9","5.9","6.4","19.6"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","05","Meat, poultry, fish, seafood, and their preparations","2017","356421","93872","46001","183","2.1","2.3","4.6","17.6"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","06","Milled grain products and preparations, and bakery products","2017","198051","132818","56404","187","3.2","5.8","7.2","16.8"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","07","Other prepared foodstuffs and fats and oils","2017","606280","530168","203307","373","1.7","3.1","2.7","12.0"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","08","Alcoholic beverages","2017","226894","111861","27798","195","2.4","3.3","7.9","17.1"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","09","Tobacco products","2017","79806","4659","877","1014","15.6","24.9","15.8","9.1"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","10","Monumental or building stone","2017","7193","14072","2474","345","12.7","14.6","12.1","18.5"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","11","Natural sands","2017","12211","535935","112790","170","14.0","6.9","14.0","20.6"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","12","Gravel and crushed stone (excludes dolomite and slate)","2017","19664","1615187","95990","41","7.2","7.2","12.3","8.3"
