"SAPCE1 Personal consumption expenditures (PCE) by major type of product 1/"
"(millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"00000","United States","1","Personal consumption expenditures",9277235.6,9746593.5,10050083.4,9891218.5,10260256.2,10698857.0,11047363.2,11363527.8,11847725.1
"00000","United States","2","  Goods",3239655.4,3367030.6,3363221.0,3180022.3,3317824.7,3518120.9,3637739.2,3729972.7,3862956.5
"00000","United States","3","    Durable goods",1158333.1,1188043.0,1098760.6,1012121.3,1048962.5,1093498.8,1144221.0,1189413.3,1242075.5
"00000","United States","4","      Motor vehicles and parts",394949.3,400573.0,343337.2,318583.1,344466.2,365178.4,396607.9,417533.0,441992.0
"00000","United States","5","      Furnishings and durable household equipment",283597.6,283457.6,264348.6,238275.2,240924.2,246861.8,253938.0,263589.7,276166.5
"00000","United States","6","      Recreational goods and vehicles",326319.7,339189.9,328061.1,297516.5,298612.2,305352.7,311821.3,321560.9,329928.0
"00000","United States","7","      Other durable goods",153466.5,164822.6,163013.7,157746.5,164959.9,176105.9,181853.7,186729.7,193989.0
"00000","United States","8","    Nondurable goods",2081322.4,2178987.6,2264460.3,2167901.1,2268862.2,2424622.1,2493518.2,2540559.3,2620881.0
"00000","United States","9","      Food and beverages purchased for off-premises consumption",700260.4,737332.0,769085.5,772929.7,786866.1,819542.4,846198.0,863994.0,896855.4
"00000","United States","10","      Clothing and footwear",320022.8,323474.1,317372.5,304042.6,316611.3,332585.6,345219.5,350533.1,360750.6
"00000","United States","11","      Gasoline and other energy goods",319649.8,345546.6,391088.8,287027.5,336717.6,413800.9,421934.6,418248.3,403343.7
"00000","United States","12","      Other nondurable goods",741389.4,772634.9,786913.5,803901.3,828667.2,858693.2,880166.1,907784.0,959931.2
"00000","United States","13","  Services",6037580.2,6379562.9,6686862.5,6711196.1,6942431.5,7180736.1,7409623.9,7633555.2,7984768.6
"00000","United States","14","    Household consumption expenditures (for services)",5798395.8,6130782.8,6399570.2,6422015.7,6647993.2,6868880.2,7068077.7,7280965.2,7619172.2
"00000","United States","15","      Housing and utilities",1665715.4,1759556.5,1872714.2,1900009.5,1947947.3,1983277.2,2014739.6,2083468.9,2151392.5
"00000","United States","16","      Health care",1391891.6,1478209.0,1555346.2,1632736.9,1699558.9,1757146.1,1821293.4,1858240.3,1940547.2
"00000","United States","17","      Transportation services",297056.4,307553.5,312689.1,297361.9,305153.4,328362.2,341050.3,359937.0,383041.7
"00000","United States","18","      Recreation services",351278.2,375593.8,389069.5,388399.3,403742.9,409015.1,430769.4,447059.8,466594.5
"00000","United States","19","      Food services and accommodations",570600.0,601498.1,620152.1,612688.2,635670.7,669464.7,704927.9,732250.6,776933.8
"00000","United States","20","      Financial services and insurance",719530.2,762695.2,777455.8,720512.1,767987.1,811064.2,830923.5,869309.2,922940.8
"00000","United States","21","      Other services",802324.0,845676.7,872143.3,870307.9,887932.9,910550.7,924373.8,930699.3,977721.7
"00000","United States","22","    Final consumption expenditures of nonprofit institutions serving households (NPISHs)",239184.3,248780.1,287292.3,289180.4,294438.3,311855.9,341546.3,352589.9,365596.4
"00000","United States","23","      Gross output of nonprofit institutions",932225.6,983141.2,1047352.7,1088289.3,1128597.6,1173519.1,1236512.8,1271725.4,1322387.0
"00000","United States","24","      Less: Receipts from sales of goods and services by nonprofit institutions",693041.3,734361.1,760060.4,799108.8,834159.3,861663.2,894966.6,919135.5,956790.6
"01000","Alabama","1","Personal consumption expenditures",121798.9,127522.3,130497.7,128675.8,132956.3,137347.4,140347.7,144027.9,148689.4
"01000","Alabama","2","  Goods",47934.9,49824.8,49800.5,47519.5,49411.3,51915.2,53205.7,54377.8,55697.1
"01000","Alabama","3","    Durable goods",15346.7,15862.2,14359.9,13287.7,13875.3,14444.1,15071.9,15539.1,16053.4
"01000","Alabama","4","      Motor vehicles and parts",6714.3,6796.3,5701.4,5180.2,5731.1,6082.2,6512.4,6757.0,6995.7
"01000","Alabama","5","      Furnishings and durable household equipment",3523.0,3610.8,3347.0,3068.6,3060.9,3097.8,3172.8,3256.5,3377.9
"01000","Alabama","6","      Recreational goods and vehicles",3224.4,3430.1,3309.1,3050.4,3011.5,3076.4,3162.8,3232.4,3296.2
"01000","Alabama","7","      Other durable goods",1884.9,2025.1,2002.5,1988.5,2071.9,2187.7,2223.9,2293.2,2383.6
"01000","Alabama","8","    Nondurable goods",32588.2,33962.5,35440.5,34231.8,35536.0,37471.2,38133.8,38838.8,39643.7
"01000","Alabama","9","      Food and beverages purchased for off-premises consumption",10259.0,10571.2,11023.6,11171.0,11263.3,11641.5,11840.2,11889.6,12214.6
"01000","Alabama","10","      Clothing and footwear",4342.6,4411.7,4367.2,4250.2,4401.0,4536.9,4544.9,4606.4,4698.1
"01000","Alabama","11","      Gasoline and other energy goods",5379.9,5734.3,6494.0,4760.9,5672.8,6946.9,7044.6,7013.4,6615.2
"01000","Alabama","12","      Other nondurable goods",12606.8,13245.3,13555.7,14049.7,14198.9,14345.8,14704.1,15329.4,16115.9
"01000","Alabama","13","  Services",73864.0,77697.5,80697.3,81156.4,83545.0,85432.2,87142.0,89650.0,92992.3
"01000","Alabama","14","    Household consumption expenditures (for services)",72413.0,75985.5,78536.9,79025.1,81440.8,83221.9,84796.4,87229.5,90373.8
"01000","Alabama","15","      Housing and utilities",21480.1,22990.0,24148.6,24494.6,25265.5,25535.5,25662.6,26270.3,26623.7
"01000","Alabama","16","      Health care",19808.5,20625.4,21228.1,22005.8,22563.3,23028.2,24017.4,24564.0,25243.9
"01000","Alabama","17","      Transportation services",3003.2,3074.3,3127.9,2974.4,3005.8,3166.8,3169.4,3230.5,3412.9
"01000","Alabama","18","      Recreation services",3745.7,3899.5,3977.4,3933.6,3980.9,3887.6,4011.6,4182.0,4291.7
"01000","Alabama","19","      Food services and accommodations",6707.3,7040.7,7364.5,7440.6,7689.8,7963.4,8269.7,8630.1,9135.9
"01000","Alabama","20","      Financial services and insurance",8315.2,8612.2,8704.5,8125.1,8678.6,8992.2,8972.4,9156.8,9649.5
"01000","Alabama","21","      Other services",9353.0,9743.4,9985.9,10051.0,10257.0,10648.3,10693.3,11195.9,12016.0
"01000","Alabama","22","    Final consumption expenditures of nonprofit institutions serving households (NPISHs)",1451.1,1712.0,2160.3,2131.3,2104.1,2210.3,2345.6,2420.5,2618.6
"01000","Alabama","23","      Gross output of nonprofit institutions",10823.0,11839.0,12525.0,12934.9,13303.7,13675.8,14091.9,14535.9,14908.7
"01000","Alabama","24","      Less: Receipts from sales of goods and services by nonprofit institutions",9372.0,10127.0,10364.7,10803.6,11199.5,11465.4,11746.3,12115.3,12290.1
"02000","Alaska","1","Personal consumption expenditures",24497.2,25924.9,27186.6,27410.3,28597.2,30162.4,31169.8,31709.4,32820.9
"02000","Alaska","2","  Goods",8232.0,8561.1,8761.9,8484.1,8776.5,9244.8,9476.7,9509.9,9718.4
"02000","Alaska","3","    Durable goods",3149.4,3225.3,3079.6,2938.3,2947.3,3018.2,3154.0,3226.6,3354.2
"02000","Alaska","4","      Motor vehicles and parts",1161.2,1157.8,998.3,976.2,999.7,1015.7,1112.3,1165.8,1201.0
"02000","Alaska","5","      Furnishings and durable household equipment",674.4,686.8,699.1,664.0,669.1,682.1,699.9,707.9,745.1
"02000","Alaska","6","      Recreational goods and vehicles",946.6,993.2,994.5,931.1,903.7,920.2,937.9,947.5,993.3
