GeoFips,GeoName,LineCode,Description,2014,2015,2016,2017,2018,2019,2020
0,United States,1,Personal consumption expenditures,11847725.1,12263476.3,12693265.6,13239110.8,13913530.7,14428675.7,14047565.2
0,United States,2,  Goods,3862956.5,3922992.5,3991848.9,4158553.8,4353716,4478918,4653821.6
0,United States,3,    Durable goods,1242075.5,1307605.2,1345193.9,1396633.6,1469167.2,1513284.9,1616408.5
0,United States,4,      Motor vehicles and parts,441992,475346,484318.5,501347,519466.8,514544.9,541265
0,United States,5,      Furnishings and durable household equipment,276166.5,294219.7,308489.1,322733.1,345513.9,360199,390382.3
0,United States,6,      Recreational goods and vehicles,329928,336482.1,349414.9,366395.9,391103.8,420926,476216.5
0,United States,7,      Other durable goods,193989,201557.4,202971.3,206157.6,213082.6,217615.1,208544.7
0,United States,8,    Nondurable goods,2620881,2615387.4,2646655,2761920.2,2884548.8,2965633.1,3037413.1
0,United States,9,      Food and beverages purchased for off-premises consumption,896855.4,920955.4,940635.3,973072.3,1000345.3,1030910.9,1146675.9
0,United States,10,      Clothing and footwear,360750.6,368734.4,375706.3,380989.5,391993.9,398165.3,362435.5
0,United States,11,      Gasoline and other energy goods,403343.7,309433.8,275696.8,309938.5,350380.6,337618.2,246757.1
0,United States,12,      Other nondurable goods,959931.2,1016263.8,1054616.6,1097920,1141829,1198938.8,1281544.6
0,United States,13,  Services,7984768.6,8340483.7,8701416.7,9080557,9559814.7,9949757.7,9393743.6
0,United States,14,    Household consumption expenditures (for services),7619172.2,7968899.4,8299984.2,8662609.7,9115149.4,9509867.9,8872867.8
0,United States,15,      Housing and utilities,2151392.5,2206649,2280821.8,2363166.5,2472115.9,2571508.7,2668143.8
0,United States,16,      Health care,1940547.2,2057323.2,2159427.9,2238799.6,2339568.3,2458155.3,2308400.7
0,United States,17,      Transportation services,383041.7,398671.3,419677,440878.4,469376,495315.3,363441.1
0,United States,18,      Recreation services,466594.5,491666.5,518632.2,542255.2,564662.4,583254.9,416511.7
0,United States,19,      Food services and accommodations,776933.8,832868.4,873209.6,913543.9,960804.9,1008269.9,801547.4
0,United States,20,      Financial services and insurance,922940.8,974430.3,996138.8,1068957.9,1151901.4,1171585.1,1196282.7
0,United States,21,      Other services,977721.7,1007290.8,1052076.9,1095008.1,1156720.5,1221778.7,1118540.4
0,United States,22,    Final consumption expenditures of nonprofit institutions serving households (NPISHs),365596.4,371584.3,401432.5,417947.3,444665.3,439889.7,520875.7
0,United States,23,      Gross output of nonprofit institutions,1322387,1383261.4,1460122.9,1510247.3,1587771.3,1643579.8,1644765.8
0,United States,24,      Less: Receipts from sales of goods and services by nonprofit institutions,956790.6,1011677.1,1058690.3,1092300,1143105.9,1203690,1123890
1000,Alabama,1,Personal consumption expenditures,148689.4,152755.9,157119.9,163367.8,170857.1,177751,176479.8
1000,Alabama,2,  Goods,55697.1,56053.7,56370.8,58146.8,60506,62304.5,65664.5
1000,Alabama,3,    Durable goods,16053.4,16834.2,17323,17852.2,18708.3,19339,21400.5
1000,Alabama,4,      Motor vehicles and parts,6995.7,7427.1,7602.4,7793.8,8109.3,8073.1,8813.5
1000,Alabama,5,      Furnishings and durable household equipment,3377.9,3596.7,3782.9,3953.3,4221.9,4485.2,5145.5
1000,Alabama,6,      Recreational goods and vehicles,3296.2,3330.6,3499,3662.5,3872.4,4224.6,4995.4
1000,Alabama,7,      Other durable goods,2383.6,2479.7,2438.7,2442.6,2504.6,2556.1,2446.1
1000,Alabama,8,    Nondurable goods,39643.7,39219.5,39047.9,40294.7,41797.8,42965.5,44264
1000,Alabama,9,      Food and beverages purchased for off-premises consumption,12214.6,12471.7,12741.1,13005.9,13434.3,13852.6,15383.7
1000,Alabama,10,      Clothing and footwear,4698.1,4790,4851.6,4855.1,4978.1,5056.6,4861
1000,Alabama,11,      Gasoline and other energy goods,6615.2,5026.4,4421.8,4913.1,5451.9,5265.5,3875.2
1000,Alabama,12,      Other nondurable goods,16115.9,16931.4,17033.4,17520.5,17933.5,18790.8,20144.1
1000,Alabama,13,  Services,92992.3,96702.2,100749.1,105220.9,110351.1,115446.4,110815.3
1000,Alabama,14,    Household consumption expenditures (for services),90373.8,94236.7,97938.3,102252,107265.4,112568.7,106781.9
1000,Alabama,15,      Housing and utilities,26623.7,27091.9,27858.8,28544.4,29896.5,31098.2,32167.3
1000,Alabama,16,      Health care,25243.9,26509.5,27404.6,28271.4,29301.7,30933.6,29057.6
1000,Alabama,17,      Transportation services,3412.9,3397.5,3614.4,3752.4,3868.5,4141.5,3518.8
1000,Alabama,18,      Recreation services,4291.7,4511.4,4661.5,4814.5,4904.3,5048.6,3880.2
1000,Alabama,19,      Food services and accommodations,9135.9,9859.1,10455.7,11025.3,11513.3,12048.2,10505.3
1000,Alabama,20,      Financial services and insurance,9649.5,10215.4,10506.8,11425.8,12534.2,13090.5,13448
1000,Alabama,21,      Other services,12016,12651.9,13436.6,14418.2,15246.9,16208.2,14204.6
1000,Alabama,22,    Final consumption expenditures of nonprofit institutions serving households (NPISHs),2618.6,2465.5,2810.8,2969,3085.7,2877.7,4033.4
1000,Alabama,23,      Gross output of nonprofit institutions,14908.7,15386.8,16001.7,16629.4,17382.7,18085,18199.8
1000,Alabama,24,      Less: Receipts from sales of goods and services by nonprofit institutions,12290.1,12921.3,13190.9,13660.4,14297.1,15207.3,14166.4
2000,Alaska,1,Personal consumption expenditures,32820.9,33496.5,34218.2,35238.1,36644.8,37779.7,35635.7
2000,Alaska,2,  Goods,9718.4,9620.5,9610.4,9796,9998.7,10142,10478
2000,Alaska,3,    Durable goods,3354.2,3473,3579.9,3742.5,3841.2,3940.5,4298.2
2000,Alaska,4,      Motor vehicles and parts,1201,1265.1,1258.1,1281.7,1257.3,1241.9,1357.6
2000,Alaska,5,      Furnishings and durable household equipment,745.1,778,783.6,797.3,844.6,884,942.3
2000,Alaska,6,      Recreational goods and vehicles,993.3,1003.2,1106.4,1227.9,1294.8,1363.3,1586.6
2000,Alaska,7,      Other durable goods,414.7,426.8,431.9,435.6,444.4,451.2,411.7
2000,Alaska,8,    Nondurable goods,6364.2,6147.5,6030.5,6053.5,6157.5,6201.5,6179.8
2000,Alaska,9,      Food and beverages purchased for off-premises consumption,2814.4,2773.3,2721.7,2708.3,2742.8,2778.4,2955.2
2000,Alaska,10,      Clothing and footwear,671.5,677.4,676.1,664.9,678.9,682.4,600
2000,Alaska,11,      Gasoline and other energy goods,931.3,678.5,568.7,600.6,653.2,622.4,440.9
2000,Alaska,12,      Other nondurable goods,1947,2018.3,2063.9,2079.7,2082.6,2118.3,2183.7
2000,Alaska,13,  Services,23102.5,23876,24607.8,25442.2,26646.1,27637.7,25157.6
2000,Alaska,14,    Household consumption expenditures (for services),21373,22148.6,22793.6,23511.7,24618.1,25573.8,22994.8
2000,Alaska,15,      Housing and utilities,5477.2,5555.8,5689.6,5842.7,5998.5,6129,6236.5
2000,Alaska,16,      Health care,6531,6832.5,7167.1,7456,8008.3,8451,7664.7
2000,Alaska,17,      Transportation services,1116.8,1169.4,1233.5,1276,1329.8,1426.7,1087
2000,Alaska,18,      Recreation services,1656.1,1734.4,1774,1810.1,1848.7,1898.9,1235.8
2000,Alaska,19,      Food services and accommodations,2434.3,2551.7,2549.8,2565,2598.9,2693.3,1955.6
2000,Alaska,20,      Financial services and insurance,1950,2064.5,2101.3,2283.8,2452,2511.6,2506.6
2000,Alaska,21,      Other services,2207.7,2240.3,2278.4,2278.1,2382,2463.4,2308.5
2000,Alaska,22,    Final consumption expenditures of nonprofit institutions serving households (NPISHs),1729.5,1727.4,1814.2,1930.4,2028,2063.8,2162.8
2000,Alaska,23,      Gross output of nonprofit institutions,3922.9,4025.1,4209.1,4498.5,4772.7,4955.2,4769.3
2000,Alaska,24,      Less: Receipts from sales of goods and services by nonprofit institutions,2193.4,2297.7,2394.8,2568,2744.7,2891.4,2606.5
4000,Arizona,1,Personal consumption expenditures,226189.9,234868.8,244414.7,258497.8,273434.1,287659.7,287090.1
