"SAGDP2N Gross domestic product (GDP) by state 1/"
"(millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2008"
"00000","United States *","1","All industry total",14769862.0
"00000","United States *","2","  Private industries",12788252.0
"00000","United States *","3","    Agriculture, forestry, fishing and hunting",145964.0
"00000","United States *","4","      Farms",118183.0
"00000","United States *","5","      Forestry, fishing, and related activities",27781.0
"00000","United States *","6","    Mining, quarrying, and oil and gas extraction",392515.0
"00000","United States *","7","      Oil and gas extraction",271758.0
"00000","United States *","8","      Mining (except oil and gas)",61339.0
"00000","United States *","9","      Support activities for mining",59418.0
"00000","United States *","10","    Utilities",241668.0
"00000","United States *","11","    Construction",649278.0
"00000","United States *","12","    Manufacturing",1802075.0
"00000","United States *","13","      Durable goods manufacturing",1000230.0
"00000","United States *","14","        Wood product manufacturing",25624.0
"00000","United States *","15","        Nonmetallic mineral product manufacturing",44765.0
"00000","United States *","16","        Primary metal manufacturing",68864.0
"00000","United States *","17","        Fabricated metal product manufacturing",133175.0
"00000","United States *","18","        Machinery manufacturing",131699.0
"00000","United States *","19","        Computer and electronic product manufacturing",232225.0
"00000","United States *","20","        Electrical equipment, appliance, and component manufacturing",55513.0
"00000","United States *","21","        Motor vehicles, bodies and trailers, and parts manufacturing",90344.0
"00000","United States *","22","        Other transportation equipment manufacturing",114590.0
"00000","United States *","23","        Furniture and related product manufacturing",27856.0
"00000","United States *","24","        Miscellaneous manufacturing",75574.0
"00000","United States *","25","      Nondurable goods manufacturing",801845.0
"00000","United States *","26","        Food and beverage and tobacco product manufacturing",199275.0
"00000","United States *","27","        Textile mills and textile product mills",17840.0
"00000","United States *","28","        Apparel, leather, and allied product manufacturing",11574.0
"00000","United States *","29","        Paper manufacturing",51402.0
"00000","United States *","30","        Printing and related support activities",45203.0
"00000","United States *","31","        Petroleum and coal products manufacturing",154836.0
"00000","United States *","32","        Chemical manufacturing",265657.0
"00000","United States *","33","        Plastics and rubber products manufacturing",56057.0
"00000","United States *","34","    Wholesale trade",884831.0
"00000","United States *","35","    Retail trade",848849.0
"00000","United States *","36","    Transportation and warehousing",426994.0
"00000","United States *","37","      Air transportation",68696.0
"00000","United States *","38","      Rail transportation",37270.0
"00000","United States *","39","      Water transportation",16440.0
"00000","United States *","40","      Truck transportation",120515.0
"00000","United States *","41","      Transit and ground passenger transportation",28138.0
"00000","United States *","42","      Pipeline transportation",16290.0
"00000","United States *","43","      Other transportation and support activities",94395.0
"00000","United States *","44","      Warehousing and storage",45250.0
"00000","United States *","45","    Information",743822.0
"00000","United States *","46","      Publishing industries (except Internet)",189230.0
"00000","United States *","47","      Motion picture and sound recording industries",79794.0
"00000","United States *","48","      Broadcasting (except Internet) and telecommunications",391936.0
"00000","United States *","49","      Data processing, hosting, and other information services",82862.0
"00000","United States *","50","    Finance, insurance, real estate, rental, and leasing",2816141.0
"00000","United States *","51","      Finance and insurance",887289.0
"00000","United States *","52","        Monetary Authorities- central bank, credit intermediation, and related services",415441.0
"00000","United States *","53","        Securities, commodity contracts, and other financial investments and related activities",99946.0
"00000","United States *","54","        Insurance carriers and related activities",349440.0
"00000","United States *","55","        Funds, trusts, and other financial vehicles",22463.0
"00000","United States *","56","      Real estate and rental and leasing",1928851.0
"00000","United States *","57","        Real estate",1750214.0
"00000","United States *","58","        Rental and leasing services and lessors of nonfinancial intangible assets",178638.0
"00000","United States *","59","    Professional and business services",1777935.0
"00000","United States *","60","      Professional, scientific, and technical services",1082820.0
"00000","United States *","61","        Legal services",240843.0
"00000","United States *","62","        Computer systems design and related services",181387.0
"00000","United States *","63","        Miscellaneous professional, scientific, and technical services",660591.0
"00000","United States *","64","      Management of companies and enterprises",256355.0
"00000","United States *","65","      Administrative and support and waste management and remediation services",438759.0
"00000","United States *","66","        Administrative and support services",401838.0
"00000","United States *","67","        Waste management and remediation services",36921.0
"00000","United States *","68","    Educational services, health care, and social assistance",1184976.0
"00000","United States *","69","      Educational services",167778.0
"00000","United States *","70","      Health care and social assistance",1017197.0
"00000","United States *","71","        Ambulatory health care services",481067.0
"00000","United States *","72","        Hospitals",339913.0
"00000","United States *","73","        Nursing and residential care facilities",110531.0
"00000","United States *","74","        Social assistance",85686.0
"00000","United States *","75","    Arts, entertainment, recreation, accommodation, and food services",542874.0
"00000","United States *","76","      Arts, entertainment, and recreation",143237.0
"00000","United States *","77","        Performing arts, spectator sports, museums, and related activities",81499.0
"00000","United States *","78","        Amusement, gambling, and recreation industries",61738.0
"00000","United States *","79","      Accommodation and food services",399637.0
"00000","United States *","80","        Accommodation",123477.0
"00000","United States *","81","        Food services and drinking places",276160.0
"00000","United States *","82","    Other services (except government and government enterprises)",330330.0
"00000","United States *","83","  Government and government enterprises",1981608.0
"00000","United States *","84","    Federal civilian",346665.0
"00000","United States *","85","    Military",285544.0
"00000","United States *","86","    State and local",1349398.0
"00000","United States *","","Addenda:",""
"00000","United States *","87","Natural resources and mining",538479.0
"00000","United States *","88","Trade",1733680.0
"00000","United States *","89","Transportation and utilities",668662.0
