"SAGDP6N Taxes on production and imports 1/"
"(thousands of dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","1998"
"00000","United States *","1","All industry total",639472000
"00000","United States *","2","  Private industries",639222000
"00000","United States *","3","    Agriculture, forestry, fishing and hunting",4983000
"00000","United States *","4","      Farms",4208000
"00000","United States *","5","      Forestry, fishing, and related activities",775000
"00000","United States *","6","    Mining, quarrying, and oil and gas extraction",12215000
"00000","United States *","7","      Oil and gas extraction",8517000
"00000","United States *","8","      Mining (except oil and gas)",2982000
"00000","United States *","9","      Support activities for mining",716000
"00000","United States *","10","    Utilities",32347000
"00000","United States *","11","    Construction",4768000
"00000","United States *","12","    Manufacturing",42426000
"00000","United States *","13","      Durable goods manufacturing",16411000
"00000","United States *","14","        Wood product manufacturing",578000
"00000","United States *","15","        Nonmetallic mineral product manufacturing",916000
"00000","United States *","16","        Primary metal manufacturing",2055000
"00000","United States *","17","        Fabricated metal product manufacturing",1939000
"00000","United States *","18","        Machinery manufacturing",2169000
"00000","United States *","19","        Computer and electronic product manufacturing",3825000
"00000","United States *","20","        Electrical equipment, appliance, and component manufacturing",772000
"00000","United States *","21","        Motor vehicles, bodies and trailers, and parts manufacturing",1768000
"00000","United States *","22","        Other transportation equipment manufacturing",1241000
"00000","United States *","23","        Furniture and related product manufacturing",278000
"00000","United States *","24","        Miscellaneous manufacturing",869000
"00000","United States *","25","      Nondurable goods manufacturing",26014000
"00000","United States *","26","        Food and beverage and tobacco product manufacturing",15498000
"00000","United States *","27","        Textile mills and textile product mills",730000
"00000","United States *","28","        Apparel, leather, and allied product manufacturing",304000
"00000","United States *","29","        Paper manufacturing",1719000
"00000","United States *","30","        Printing and related support activities",684000
"00000","United States *","31","        Petroleum and coal products manufacturing",1669000
"00000","United States *","32","        Chemical manufacturing",4161000
"00000","United States *","33","        Plastics and rubber products manufacturing",1250000
"00000","United States *","34","    Wholesale trade",128113000
"00000","United States *","35","    Retail trade",112049000
"00000","United States *","36","    Transportation and warehousing",18681000
"00000","United States *","37","      Air transportation",10945000
"00000","United States *","38","      Rail transportation",796000
"00000","United States *","39","      Water transportation",755000
"00000","United States *","40","      Truck transportation",2141000
"00000","United States *","41","      Transit and ground passenger transportation",793000
"00000","United States *","42","      Pipeline transportation",1009000
"00000","United States *","43","      Other transportation and support activities",1875000
"00000","United States *","44","      Warehousing and storage",367000
"00000","United States *","45","    Information",32968000
"00000","United States *","46","      Publishing industries (except Internet)",1613000
"00000","United States *","47","      Motion picture and sound recording industries",1932000
"00000","United States *","48","      Broadcasting (except Internet) and telecommunications",28668000
"00000","United States *","49","      Data processing, hosting, and other information services",755000
"00000","United States *","50","    Finance, insurance, real estate, rental, and leasing",160640000
"00000","United States *","51","      Finance and insurance",27893000
"00000","United States *","52","        Monetary Authorities- central bank, credit intermediation, and related services",8703000
"00000","United States *","53","        Securities, commodity contracts, and other financial investments and related activities",3781000
"00000","United States *","54","        Insurance carriers and related activities",13702000
"00000","United States *","55","        Funds, trusts, and other financial vehicles",1707000
"00000","United States *","56","      Real estate and rental and leasing",132748000
"00000","United States *","57","        Real estate",124654000
"00000","United States *","58","        Rental and leasing services and lessors of nonfinancial intangible assets",8093000
"00000","United States *","59","    Professional and business services",23638000
"00000","United States *","60","      Professional, scientific, and technical services",12219000
"00000","United States *","61","        Legal services",4678000
"00000","United States *","62","        Computer systems design and related services",2189000
"00000","United States *","63","        Miscellaneous professional, scientific, and technical services",5352000
"00000","United States *","64","      Management of companies and enterprises",5386000
"00000","United States *","65","      Administrative and support and waste management and remediation services",6032000
"00000","United States *","66","        Administrative and support services",4354000
"00000","United States *","67","        Waste management and remediation services",1678000
"00000","United States *","68","    Educational services, health care, and social assistance",14307000
"00000","United States *","69","      Educational services",3614000
"00000","United States *","70","      Health care and social assistance",10693000
"00000","United States *","71","        Ambulatory health care services",4847000
"00000","United States *","72","        Hospitals",3582000
"00000","United States *","73","        Nursing and residential care facilities",1509000
"00000","United States *","74","        Social assistance",756000
"00000","United States *","75","    Arts, entertainment, recreation, accommodation, and food services",40922000
"00000","United States *","76","      Arts, entertainment, and recreation",7648000
"00000","United States *","77","        Performing arts, spectator sports, museums, and related activities",3163000
"00000","United States *","78","        Amusement, gambling, and recreation industries",4484000
"00000","United States *","79","      Accommodation and food services",33274000
"00000","United States *","80","        Accommodation",11660000
"00000","United States *","81","        Food services and drinking places",21615000
"00000","United States *","82","    Other services (except government and government enterprises)",11165000
"00000","United States *","83","  Government and government enterprises",250000
"00000","United States *","84","    Federal civilian",0
"00000","United States *","85","    Military",0
"00000","United States *","86","    State and local",250000
"00000","United States *","","Addenda:",""
"00000","United States *","87","Natural resources and mining",17198000
"00000","United States *","88","Trade",240162000
"00000","United States *","89","Transportation and utilities",51028000
"00000","United States *","90","Manufacturing and information",75393000
"00000","United States *","91","Private goods-producing industries 2/",64392000
"00000","United States *","92","Private services-providing industries 3/",574830000
"01000","Alabama","1","All industry total",6968323
"01000","Alabama","2","  Private industries",6968323
"01000","Alabama","3","    Agriculture, forestry, fishing and hunting",38775
"01000","Alabama","4","      Farms",27039
"01000","Alabama","5","      Forestry, fishing, and related activities",11736
"01000","Alabama","6","    Mining, quarrying, and oil and gas extraction",126270
"01000","Alabama","7","      Oil and gas extraction",61803
"01000","Alabama","8","      Mining (except oil and gas)",61262
"01000","Alabama","9","      Support activities for mining",3205
