GeoFips,GeoName,LineCode,Description,2016
0,United States *,1,All industry total,18695106
0,United States *,2,  Private industries,16310916
0,United States *,3,"    Agriculture, forestry, fishing and hunting",165848
0,United States *,4,      Farms,129892
0,United States *,5,"      Forestry, fishing, and related activities",35956
0,United States *,6,"    Mining, quarrying, and oil and gas extraction",218080
0,United States *,7,      Oil and gas extraction,138565
0,United States *,8,      Mining (except oil and gas),47408
0,United States *,9,      Support activities for mining,32107
0,United States *,10,    Utilities,302006
0,United States *,11,    Construction,747709
0,United States *,12,    Manufacturing,2102850
0,United States *,13,      Durable goods manufacturing,1187775
0,United States *,14,        Wood product manufacturing,35332
0,United States *,15,        Nonmetallic mineral product manufacturing,57504
0,United States *,16,        Primary metal manufacturing,56861
0,United States *,17,        Fabricated metal product manufacturing,146044
0,United States *,18,        Machinery manufacturing,143770
0,United States *,19,        Computer and electronic product manufacturing,268060
0,United States *,20,"        Electrical equipment, appliance, and component manufacturing",58462
0,United States *,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",155480
0,United States *,22,        Other transportation equipment manufacturing,148448
0,United States *,23,        Furniture and related product manufacturing,30285
0,United States *,24,        Miscellaneous manufacturing,87529
0,United States *,25,      Nondurable goods manufacturing,915075
0,United States *,26,        Food and beverage and tobacco product manufacturing,264652
0,United States *,27,        Textile mills and textile product mills,18579
0,United States *,28,"        Apparel, leather, and allied product manufacturing",9613
0,United States *,29,        Paper manufacturing,58396
0,United States *,30,        Printing and related support activities,41221
0,United States *,31,        Petroleum and coal products manufacturing,85707
0,United States *,32,        Chemical manufacturing,357049
0,United States *,33,        Plastics and rubber products manufacturing,79857
0,United States *,34,    Wholesale trade,1135846
0,United States *,35,    Retail trade,1052987
0,United States *,36,    Transportation and warehousing,582373
0,United States *,37,      Air transportation,129182
0,United States *,38,      Rail transportation,40083
0,United States *,39,      Water transportation,13470
0,United States *,40,      Truck transportation,148864
0,United States *,41,      Transit and ground passenger transportation,42690
0,United States *,42,      Pipeline transportation,39194
0,United States *,43,      Other transportation and support activities,110858
0,United States *,44,      Warehousing and storage,58033
0,United States *,45,    Information,970267
0,United States *,46,      Publishing industries (except Internet),234524
0,United States *,47,      Motion picture and sound recording industries,93819
0,United States *,48,      Broadcasting (except Internet) and telecommunications,446688
0,United States *,49,"      Data processing, hosting, and other information services",195235
0,United States *,50,"    Finance, insurance, real estate, rental, and leasing",3883235
0,United States *,51,      Finance and insurance,1474982
0,United States *,52,"        Monetary Authorities- central bank, credit intermediation, and related services",617214
0,United States *,53,"        Securities, commodity contracts, and other financial investments and related activities",267431
0,United States *,54,        Insurance carriers and related activities,571596
0,United States *,55,"        Funds, trusts, and other financial vehicles",18740
0,United States *,56,      Real estate and rental and leasing,2408253
0,United States *,57,        Real estate,2187623
0,United States *,58,        Rental and leasing services and lessors of nonfinancial intangible assets,220630
0,United States *,59,    Professional and business services,2306150
0,United States *,60,"      Professional, scientific, and technical services",1395484
0,United States *,61,        Legal services,252136
0,United States *,62,        Computer systems design and related services,304859
0,United States *,63,"        Miscellaneous professional, scientific, and technical services",838490
0,United States *,64,      Management of companies and enterprises,350948
0,United States *,65,      Administrative and support and waste management and remediation services,559717
0,United States *,66,        Administrative and support services,511666
0,United States *,67,        Waste management and remediation services,48052
0,United States *,68,"    Educational services, health care, and social assistance",1652644
0,United States *,69,      Educational services,246210
0,United States *,70,      Health care and social assistance,1406434
0,United States *,71,        Ambulatory health care services,682939
0,United States *,72,        Hospitals,461009
0,United States *,73,        Nursing and residential care facilities,142950
0,United States *,74,        Social assistance,119536
0,United States *,75,"    Arts, entertainment, recreation, accommodation, and food services",790466
0,United States *,76,"      Arts, entertainment, and recreation",207221
0,United States *,77,"        Performing arts, spectator sports, museums, and related activities",122232
0,United States *,78,"        Amusement, gambling, and recreation industries",84990
0,United States *,79,      Accommodation and food services,583244
0,United States *,80,        Accommodation,160207
0,United States *,81,        Food services and drinking places,423037
0,United States *,82,    Other services (except government and government enterprises),400456
0,United States *,83,  Government and government enterprises,2384195
0,United States *,84,    Federal civilian,433947
0,United States *,85,    Military,309059
0,United States *,86,    State and local,1641189
0,United States *,,Addenda:,
0,United States *,87,Natural resources and mining,383929
0,United States *,88,Trade,2188832
0,United States *,89,Transportation and utilities,884377
0,United States *,90,Manufacturing and information,3073114
0,United States *,91,Private goods-producing industries 2/,3234487
0,United States *,92,Private services-providing industries 3/,13076429
0,United States *,100,"All industry total, overseas activity",108865
0,United States *,101,"Government and government enterprises, overseas activity",108865
0,United States *,102,"Federal civilian, overseas activity",5861
0,United States *,103,"Military, overseas activity",103004
1000,Alabama,1,All industry total,207368.4
1000,Alabama,2,  Private industries,172809.3
1000,Alabama,3,"    Agriculture, forestry, fishing and hunting",2023.4
1000,Alabama,4,      Farms,1412.8
1000,Alabama,5,"      Forestry, fishing, and related activities",610.6
1000,Alabama,6,"    Mining, quarrying, and oil and gas extraction",1368.9
1000,Alabama,7,      Oil and gas extraction,409.1
1000,Alabama,8,      Mining (except oil and gas),906.3
1000,Alabama,9,      Support activities for mining,53.4
1000,Alabama,10,    Utilities,6208.8
1000,Alabama,11,    Construction,7908.3
1000,Alabama,12,    Manufacturing,34464.3
1000,Alabama,13,      Durable goods manufacturing,22037.7
1000,Alabama,14,        Wood product manufacturing,1441.3
1000,Alabama,15,        Nonmetallic mineral product manufacturing,918.5
1000,Alabama,16,        Primary metal manufacturing,3303.9
1000,Alabama,17,        Fabricated metal product manufacturing,2580.3
1000,Alabama,18,        Machinery manufacturing,999.3
1000,Alabama,19,        Computer and electronic product manufacturing,1089.6
1000,Alabama,20,"        Electrical equipment, appliance, and component manufacturing",689.5
1000,Alabama,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",6358.3
1000,Alabama,22,        Other transportation equipment manufacturing,3188.4
1000,Alabama,23,        Furniture and related product manufacturing,901.3
1000,Alabama,24,        Miscellaneous manufacturing,567.4
1000,Alabama,25,      Nondurable goods manufacturing,12426.5
1000,Alabama,26,        Food and beverage and tobacco product manufacturing,2419.9
1000,Alabama,27,        Textile mills and textile product mills,517.3
1000,Alabama,28,"        Apparel, leather, and allied product manufacturing",105.9
1000,Alabama,29,        Paper manufacturing,2679.7
1000,Alabama,30,        Printing and related support activities,214.8
1000,Alabama,31,        Petroleum and coal products manufacturing,1142.9
1000,Alabama,32,        Chemical manufacturing,3547.5
1000,Alabama,33,        Plastics and rubber products manufacturing,1798.7
1000,Alabama,34,    Wholesale trade,12003.1
1000,Alabama,35,    Retail trade,13964.5
1000,Alabama,36,    Transportation and warehousing,5315.5
1000,Alabama,37,      Air transportation,170.7
1000,Alabama,38,      Rail transportation,651.4
1000,Alabama,39,      Water transportation,133.1
1000,Alabama,40,      Truck transportation,2272.3
1000,Alabama,41,      Transit and ground passenger transportation,100.6
1000,Alabama,42,      Pipeline transportation,260.1
1000,Alabama,43,      Other transportation and support activities,1038.9
1000,Alabama,44,      Warehousing and storage,688.3
1000,Alabama,45,    Information,4366.1
1000,Alabama,46,      Publishing industries (except Internet),860.7
1000,Alabama,47,      Motion picture and sound recording industries,103.6
1000,Alabama,48,      Broadcasting (except Internet) and telecommunications,3070.2
1000,Alabama,49,"      Data processing, hosting, and other information services",331.6
1000,Alabama,50,"    Finance, insurance, real estate, rental, and leasing",37024.8
1000,Alabama,51,      Finance and insurance,12814.5
1000,Alabama,52,"        Monetary Authorities- central bank, credit intermediation, and related services",7553.2
1000,Alabama,53,"        Securities, commodity contracts, and other financial investments and related activities",810.7
1000,Alabama,54,        Insurance carriers and related activities,4425.1
1000,Alabama,55,"        Funds, trusts, and other financial vehicles",25.5
1000,Alabama,56,      Real estate and rental and leasing,24210.3
1000,Alabama,57,        Real estate,22203.7
1000,Alabama,58,        Rental and leasing services and lessors of nonfinancial intangible assets,2006.6
1000,Alabama,59,    Professional and business services,19572.9
1000,Alabama,60,"      Professional, scientific, and technical services",12267.6
1000,Alabama,61,        Legal services,2403.9
1000,Alabama,62,        Computer systems design and related services,2713.2
1000,Alabama,63,"        Miscellaneous professional, scientific, and technical services",7150.4
1000,Alabama,64,      Management of companies and enterprises,2013
1000,Alabama,65,      Administrative and support and waste management and remediation services,5292.3
1000,Alabama,66,        Administrative and support services,4828.6
1000,Alabama,67,        Waste management and remediation services,463.7
1000,Alabama,68,"    Educational services, health care, and social assistance",16701.5
1000,Alabama,69,      Educational services,1379.5
1000,Alabama,70,      Health care and social assistance,15322
1000,Alabama,71,        Ambulatory health care services,9277.7
1000,Alabama,72,        Hospitals,3674.4
1000,Alabama,73,        Nursing and residential care facilities,1612.2
1000,Alabama,74,        Social assistance,757.7
1000,Alabama,75,"    Arts, entertainment, recreation, accommodation, and food services",6675
1000,Alabama,76,"      Arts, entertainment, and recreation",761.6
1000,Alabama,77,"        Performing arts, spectator sports, museums, and related activities",328
1000,Alabama,78,"        Amusement, gambling, and recreation industries",433.5
1000,Alabama,79,      Accommodation and food services,5913.4
1000,Alabama,80,        Accommodation,988.4
1000,Alabama,81,        Food services and drinking places,4925
1000,Alabama,82,    Other services (except government and government enterprises),5212.4
1000,Alabama,83,  Government and government enterprises,34559.1
1000,Alabama,84,    Federal civilian,8316.5
1000,Alabama,85,    Military,4153.8
1000,Alabama,86,    State and local,22088.8
1000,Alabama,,Addenda:,
1000,Alabama,87,Natural resources and mining,3392.3
1000,Alabama,88,Trade,25967.6
1000,Alabama,89,Transportation and utilities,11524.3
1000,Alabama,90,Manufacturing and information,38830.4
1000,Alabama,91,Private goods-producing industries 2/,45764.9
1000,Alabama,92,Private services-providing industries 3/,127044.4
2000,Alaska,1,All industry total,50727.7
2000,Alaska,2,  Private industries,40070.3
2000,Alaska,3,"    Agriculture, forestry, fishing and hunting",426.7
2000,Alaska,4,      Farms,24
2000,Alaska,5,"      Forestry, fishing, and related activities",402.6
2000,Alaska,6,"    Mining, quarrying, and oil and gas extraction",6516.8
2000,Alaska,7,      Oil and gas extraction,4179.1
2000,Alaska,8,      Mining (except oil and gas),1394.6
2000,Alaska,9,      Support activities for mining,943.1
2000,Alaska,10,    Utilities,780.9
2000,Alaska,11,    Construction,2369.5
2000,Alaska,12,    Manufacturing,1570.4
2000,Alaska,13,      Durable goods manufacturing,253.3
2000,Alaska,14,        Wood product manufacturing,58.9
2000,Alaska,15,        Nonmetallic mineral product manufacturing,62.2
2000,Alaska,16,        Primary metal manufacturing,1.9
2000,Alaska,17,        Fabricated metal product manufacturing,36.9
2000,Alaska,18,        Machinery manufacturing,12.3
2000,Alaska,19,        Computer and electronic product manufacturing,13.8
2000,Alaska,20,"        Electrical equipment, appliance, and component manufacturing",1.6
2000,Alaska,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",4.2
2000,Alaska,22,        Other transportation equipment manufacturing,39.9
2000,Alaska,23,        Furniture and related product manufacturing,12.6
2000,Alaska,24,        Miscellaneous manufacturing,9
2000,Alaska,25,      Nondurable goods manufacturing,1317
2000,Alaska,26,        Food and beverage and tobacco product manufacturing,840
2000,Alaska,27,        Textile mills and textile product mills,5
2000,Alaska,28,"        Apparel, leather, and allied product manufacturing",1.1
2000,Alaska,29,        Paper manufacturing,0.8
2000,Alaska,30,        Printing and related support activities,22.6
2000,Alaska,31,        Petroleum and coal products manufacturing,430.6
2000,Alaska,32,        Chemical manufacturing,7.3
2000,Alaska,33,        Plastics and rubber products manufacturing,9.6
2000,Alaska,34,    Wholesale trade,1271.1
2000,Alaska,35,    Retail trade,2218.4
2000,Alaska,36,    Transportation and warehousing,6654.3
2000,Alaska,37,      Air transportation,939.8
2000,Alaska,38,      Rail transportation,0
2000,Alaska,39,      Water transportation,274.5
