GeoFips,GeoName,LineCode,Description,2015
0,United States *,1,All industry total,1275152000
0,United States *,2,  Private industries,1274660000
0,United States *,3,"    Agriculture, forestry, fishing and hunting",10862000
0,United States *,4,      Farms,9345000
0,United States *,5,"      Forestry, fishing, and related activities",1516000
0,United States *,6,"    Mining, quarrying, and oil and gas extraction",39757000
0,United States *,7,      Oil and gas extraction,32422000
0,United States *,8,      Mining (except oil and gas),4942000
0,United States *,9,      Support activities for mining,2393000
0,United States *,10,    Utilities,58707000
0,United States *,11,    Construction,8935000
0,United States *,12,    Manufacturing,85345000
0,United States *,13,      Durable goods manufacturing,30279000
0,United States *,14,        Wood product manufacturing,698000
0,United States *,15,        Nonmetallic mineral product manufacturing,1433000
0,United States *,16,        Primary metal manufacturing,2459000
0,United States *,17,        Fabricated metal product manufacturing,3348000
0,United States *,18,        Machinery manufacturing,3516000
0,United States *,19,        Computer and electronic product manufacturing,8495000
0,United States *,20,"        Electrical equipment, appliance, and component manufacturing",1147000
0,United States *,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",3382000
0,United States *,22,        Other transportation equipment manufacturing,2462000
0,United States *,23,        Furniture and related product manufacturing,384000
0,United States *,24,        Miscellaneous manufacturing,2955000
0,United States *,25,      Nondurable goods manufacturing,55066000
0,United States *,26,        Food and beverage and tobacco product manufacturing,30077000
0,United States *,27,        Textile mills and textile product mills,594000
0,United States *,28,"        Apparel, leather, and allied product manufacturing",288000
0,United States *,29,        Paper manufacturing,1720000
0,United States *,30,        Printing and related support activities,755000
0,United States *,31,        Petroleum and coal products manufacturing,3644000
0,United States *,32,        Chemical manufacturing,16184000
0,United States *,33,        Plastics and rubber products manufacturing,1803000
0,United States *,34,    Wholesale trade,210305000
0,United States *,35,    Retail trade,216690000
0,United States *,36,    Transportation and warehousing,37001000
0,United States *,37,      Air transportation,22262000
0,United States *,38,      Rail transportation,2072000
0,United States *,39,      Water transportation,900000
0,United States *,40,      Truck transportation,4126000
0,United States *,41,      Transit and ground passenger transportation,1703000
0,United States *,42,      Pipeline transportation,2920000
0,United States *,43,      Other transportation and support activities,2245000
0,United States *,44,      Warehousing and storage,774000
0,United States *,45,    Information,55284000
0,United States *,46,      Publishing industries (except Internet),5423000
0,United States *,47,      Motion picture and sound recording industries,6431000
0,United States *,48,      Broadcasting (except Internet) and telecommunications,39566000
0,United States *,49,"      Data processing, hosting, and other information services",3864000
0,United States *,50,"    Finance, insurance, real estate, rental, and leasing",341029000
0,United States *,51,      Finance and insurance,63902000
0,United States *,52,"        Monetary Authorities- central bank, credit intermediation, and related services",17822000
0,United States *,53,"        Securities, commodity contracts, and other financial investments and related activities",5043000
0,United States *,54,        Insurance carriers and related activities,40312000
0,United States *,55,"        Funds, trusts, and other financial vehicles",725000
0,United States *,56,      Real estate and rental and leasing,277127000
0,United States *,57,        Real estate,258377000
0,United States *,58,        Rental and leasing services and lessors of nonfinancial intangible assets,18751000
0,United States *,59,    Professional and business services,55736000
0,United States *,60,"      Professional, scientific, and technical services",35039000
0,United States *,61,        Legal services,15939000
0,United States *,62,        Computer systems design and related services,5929000
0,United States *,63,"        Miscellaneous professional, scientific, and technical services",13172000
0,United States *,64,      Management of companies and enterprises,8442000
0,United States *,65,      Administrative and support and waste management and remediation services,12256000
0,United States *,66,        Administrative and support services,8946000
0,United States *,67,        Waste management and remediation services,3309000
0,United States *,68,"    Educational services, health care, and social assistance",37122000
0,United States *,69,      Educational services,8312000
0,United States *,70,      Health care and social assistance,28811000
0,United States *,71,        Ambulatory health care services,8517000
0,United States *,72,        Hospitals,12761000
0,United States *,73,        Nursing and residential care facilities,5717000
0,United States *,74,        Social assistance,1815000
0,United States *,75,"    Arts, entertainment, recreation, accommodation, and food services",96580000
0,United States *,76,"      Arts, entertainment, and recreation",19459000
0,United States *,77,"        Performing arts, spectator sports, museums, and related activities",8006000
0,United States *,78,"        Amusement, gambling, and recreation industries",11452000
0,United States *,79,      Accommodation and food services,77122000
0,United States *,80,        Accommodation,26461000
0,United States *,81,        Food services and drinking places,50660000
0,United States *,82,    Other services (except government and government enterprises),21304000
0,United States *,83,  Government and government enterprises,492000
0,United States *,84,    Federal civilian,0
0,United States *,85,    Military,0
0,United States *,86,    State and local,492000
0,United States *,,Addenda:,
0,United States *,87,Natural resources and mining,50618000
0,United States *,88,Trade,426995000
0,United States *,89,Transportation and utilities,95709000
0,United States *,90,Manufacturing and information,140628000
0,United States *,91,Private goods-producing industries 2/,144899000
0,United States *,92,Private services-providing industries 3/,1129761000
1000,Alabama,1,All industry total,12138542
1000,Alabama,2,  Private industries,12138542
1000,Alabama,3,"    Agriculture, forestry, fishing and hunting",64884
1000,Alabama,4,      Farms,46191
1000,Alabama,5,"      Forestry, fishing, and related activities",18692
1000,Alabama,6,"    Mining, quarrying, and oil and gas extraction",170014
1000,Alabama,7,      Oil and gas extraction,87249
1000,Alabama,8,      Mining (except oil and gas),77518
1000,Alabama,9,      Support activities for mining,5248
1000,Alabama,10,    Utilities,1248926
1000,Alabama,11,    Construction,142010
1000,Alabama,12,    Manufacturing,685650
1000,Alabama,13,      Durable goods manufacturing,366314
1000,Alabama,14,        Wood product manufacturing,13606
1000,Alabama,15,        Nonmetallic mineral product manufacturing,13719
1000,Alabama,16,        Primary metal manufacturing,74173
1000,Alabama,17,        Fabricated metal product manufacturing,39950
1000,Alabama,18,        Machinery manufacturing,17963
1000,Alabama,19,        Computer and electronic product manufacturing,33869
1000,Alabama,20,"        Electrical equipment, appliance, and component manufacturing",7720
1000,Alabama,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",90763
1000,Alabama,22,        Other transportation equipment manufacturing,46217
1000,Alabama,23,        Furniture and related product manufacturing,8485
