"SAGDP2N Gross domestic product (GDP) by state 1/"
"(millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"30000","Montana","1","All industry total",19290.4,20429.1,20812.2,21876.7,22847.6,23942.1,25714.9,28160.5,30875.8,33166.1,36233.2,37224.9,36187.8,38336.1,40995.1,42340.9,43687.9,45177.2,46604.1,45490.9,48439.5,50903.8,51789.3,51508.8
"30000","Montana","2","  Private industries",16017.9,17022.8,17252.8,18060.8,18908.7,19775.7,21214.1,23450.3,25970.9,27957.8,30706.3,31436.0,30203.9,32170.5,34691.9,35911.5,37276.4,38536.6,39758.9,38377.0,41113.6,43496.4,44201.5,43617.6
"30000","Montana","3","    Agriculture, forestry, fishing and hunting",837.2,782.2,740.8,664.0,707.8,759.2,880.7,1217.1,1202.9,927.9,1268.2,1388.1,1209.8,1426.8,1628.7,1826.3,2129.7,2064.0,1981.3,1804.8,1397.1,1800.4,1753.6,1842.8
"30000","Montana","4","      Farms",675.8,614.0,575.4,492.9,551.9,592.9,703.6,1037.2,1024.8,725.6,1068.4,1190.6,1032.2,1245.1,1438.0,1615.0,1914.4,1829.5,1725.9,1546.5,1123.2,1521.8,1474.2,1539.1
"30000","Montana","5","      Forestry, fishing, and related activities",161.5,168.2,165.5,171.1,155.9,166.3,177.1,179.8,178.1,202.3,199.9,197.4,177.6,181.7,190.7,211.3,215.3,234.4,255.4,258.3,273.9,278.6,279.3,303.7
"30000","Montana","6","    Mining, quarrying, and oil and gas extraction",658.8,644.2,660.5,735.4,781.1,721.5,811.4,1023.3,1441.3,1793.4,2070.2,2409.6,1971.4,2300.1,2721.6,2704.3,2815.0,2668.8,1944.3,1398.1,1706.5,1822.3,1757.4,1765.9
"30000","Montana","7","      Oil and gas extraction",59.1,42.7,52.3,90.9,105.6,131.1,169.3,262.7,449.8,523.8,564.0,763.3,487.8,547.8,647.2,776.9,911.8,849.0,437.5,363.3,430.8,457.2,364.3,245.6
"30000","Montana","8","      Mining (except oil and gas)",523.7,540.5,562.4,584.1,564.5,498.4,540.5,601.2,779.8,922.1,1174.1,1242.0,1246.0,1458.8,1673.1,1420.9,1428.0,1314.0,1201.4,886.7,1097.5,1119.6,1167.4,1350.6
"30000","Montana","9","      Support activities for mining",76.1,61.0,45.8,60.4,111.0,91.9,101.6,159.4,211.6,347.5,332.2,404.3,237.6,293.6,401.2,506.5,475.2,505.9,305.4,148.1,178.2,245.5,225.7,169.6
"30000","Montana","10","    Utilities",648.9,607.5,662.7,640.2,659.7,613.7,644.4,682.4,677.0,754.9,809.4,855.8,944.7,987.6,1065.0,1032.1,1065.1,1074.5,1096.4,1093.6,1099.6,1050.2,1140.6,1163.0
"30000","Montana","11","    Construction",1028.2,1159.8,1203.4,1269.7,1333.2,1380.4,1568.6,1760.8,2063.5,2281.7,2605.6,2367.7,2174.4,1965.2,1962.6,2098.3,2166.6,2278.8,2429.9,2485.0,2550.9,2703.8,2851.9,2950.2
"30000","Montana","12","    Manufacturing",1410.8,1555.4,1352.4,1361.2,1392.9,1270.0,1597.8,1806.6,1974.8,2159.7,2736.4,2157.3,1584.1,1926.5,2566.6,2617.8,2629.0,3027.4,3359.1,2401.5,3670.8,4188.7,3193.1,2772.8
"30000","Montana","13","      Durable goods manufacturing",694.2,740.2,717.9,737.0,729.4,657.6,708.4,743.6,786.6,755.2,811.9,788.0,703.7,687.3,735.1,816.0,964.9,1007.7,1083.0,1125.7,1157.4,1128.3,1107.8,1153.8
"30000","Montana","14","        Wood product manufacturing",296.3,276.8,289.5,267.1,258.1,243.6,273.1,332.2,325.7,248.8,243.1,233.4,174.8,172.1,202.1,203.5,310.5,285.6,329.9,364.2,385.7,352.3,263.4,277.4
"30000","Montana","15","        Nonmetallic mineral product manufacturing",62.5,64.4,76.9,79.9,70.0,66.1,79.6,83.2,85.0,74.5,82.9,81.8,92.2,79.8,79.4,150.5,172.4,164.2,184.3,195.4,167.2,163.1,168.3,184.6
"30000","Montana","16","        Primary metal manufacturing",65.7,65.4,60.3,65.8,63.2,43.3,35.1,26.8,29.9,34.3,64.4,68.2,43.7,12.7,21.9,29.3,25.6,26.5,17.8,17.9,19.4,22.5,31.4,23.5
"30000","Montana","17","        Fabricated metal product manufacturing",50.4,81.6,47.2,44.3,57.4,56.6,64.2,59.6,58.8,70.8,97.2,96.7,100.7,99.2,109.4,132.1,162.2,168.5,160.7,190.3,176.9,157.2,197.3,184.4
"30000","Montana","18","        Machinery manufacturing",58.8,61.5,68.8,102.3,117.1,64.2,87.2,81.2,103.5,118.6,95.0,97.4,86.3,124.3,121.8,98.1,76.6,109.2,124.9,81.7,95.7,122.5,122.3,121.7
"30000","Montana","19","        Computer and electronic product manufacturing",26.1,32.6,27.7,30.2,30.1,28.1,27.7,26.6,35.1,31.2,36.4,40.5,36.0,37.0,45.8,40.4,46.1,49.1,52.6,55.6,64.3,69.0,81.1,102.7
"30000","Montana","20","        Electrical equipment, appliance, and component manufacturing",4.7,4.6,4.2,4.3,6.7,7.8,6.9,8.7,9.1,11.0,13.6,15.7,15.1,14.2,14.0,13.1,11.4,13.9,17.1,16.9,16.7,17.1,15.3,16.8
"30000","Montana","21","        Motor vehicles, bodies and trailers, and parts manufacturing",11.8,13.2,13.4,16.5,15.6,13.4,13.9,16.9,16.9,19.9,21.0,18.6,9.7,16.0,19.7,15.7,18.9,21.4,24.3,25.3,29.0,31.3,35.8,40.3
"30000","Montana","22","        Other transportation equipment manufacturing",8.0,11.7,4.8,4.3,6.7,6.8,5.5,5.1,5.8,4.4,2.8,5.4,5.2,3.9,5.4,10.0,8.7,9.6,15.6,12.7,13.9,8.8,6.2,4.8
"30000","Montana","23","        Furniture and related product manufacturing",24.6,33.4,34.1,36.5,32.4,31.6,31.1,31.6,34.9,37.6,35.1,31.7,27.6,24.1,23.4,23.2,26.7,29.0,34.4,33.9,34.3,33.2,32.5,32.6
"30000","Montana","24","        Miscellaneous manufacturing",85.2,95.0,91.1,85.8,72.2,95.9,84.1,71.6,81.8,103.9,120.4,98.5,112.5,104.1,92.2,100.2,105.9,130.8,121.4,131.7,154.4,151.2,154.2,165.1
"30000","Montana","25","      Nondurable goods manufacturing",716.5,815.2,634.4,624.2,663.5,612.5,889.4,1063.0,1188.2,1404.5,1924.4,1369.3,880.4,1239.3,1831.5,1801.8,1664.1,2019.7,2276.1,1275.8,2513.4,3060.4,2085.3,1619.0
"30000","Montana","26","        Food and beverage and tobacco product manufacturing",111.4,131.2,139.9,137.4,126.0,132.1,134.5,155.7,148.8,185.6,180.5,172.8,218.5,238.3,203.1,210.2,297.0,330.8,376.8,315.0,272.6,316.3,328.8,345.6
"30000","Montana","27","        Textile mills and textile product mills",8.1,5.6,5.5,6.1,7.4,5.8,4.8,6.5,5.4,5.6,6.3,7.0,7.4,7.6,6.9,7.6,6.7,6.6,7.9,9.2,7.6,7.2,7.6,7.8
"30000","Montana","28","        Apparel, leather, and allied product manufacturing",6.7,7.0,4.5,4.3,4.0,3.2,2.6,2.4,2.0,1.9,1.9,2.4,2.4,2.7,3.4,3.9,4.1,4.2,4.8,4.8,6.5,8.0,7.9,7.3
"30000","Montana","29","        Paper manufacturing",64.0,67.0,76.4,72.9,66.9,59.8,63.4,73.8,73.2,94.3,87.8,66.2,72.0,46.7,6.0,4.5,3.7,3.7,2.3,1.9,3.2,3.5,3.4,4.3
"30000","Montana","30","        Printing and related support activities",26.2,32.4,27.9,30.2,32.1,33.9,37.8,40.0,44.0,51.7,58.8,53.9,48.9,46.5,49.7,54.6,59.5,62.9,69.8,77.6,66.6,60.7,64.1,60.4
"30000","Montana","31","        Petroleum and coal products manufacturing",424.9,483.9,298.7,298.6,355.7,308.3,572.2,702.7,833.6,981.4,1487.4,951.9,387.3,746.7,1388.6,1403.0,1166.0,1500.9,1681.2,734.0,2034.7,2486.8,1422.4,953.2
"30000","Montana","32","        Chemical manufacturing",65.4,76.3,69.9,61.5,57.7,55.7,61.1,67.3,65.9,67.4,82.8,97.2,123.4,130.1,151.6,94.9,102.2,88.5,106.3,105.4,95.5,140.7,212.3,204.8
"30000","Montana","33","        Plastics and rubber products manufacturing",9.9,11.8,11.6,13.2,13.7,13.7,13.0,14.4,15.3,16.5,19.0,17.9,20.5,20.6,22.1,23.2,24.8,22.1,27.0,27.9,26.8,37.3,38.6,35.5
"30000","Montana","34","    Wholesale trade",1180.1,1221.1,1194.8,1253.8,1231.0,1279.7,1367.8,1533.8,1637.2,1767.2,1880.2,1958.8,1878.0,1994.9,2090.0,2308.4,2492.5,2544.3,2639.4,2602.2,2643.4,2832.0,2926.4,2957.5
"30000","Montana","35","    Retail trade",1523.3,1661.6,1650.9,1678.8,1761.9,1877.8,1929.9,2040.7,2279.2,2425.5,2518.1,2518.7,2520.8,2733.6,2722.7,2736.9,2701.7,2749.6,2886.0,2995.0,3099.5,3221.4,3422.0,3578.2
"30000","Montana","36","    Transportation and warehousing",829.3,934.5,900.1,990.0,946.3,944.6,1022.0,1141.1,1284.7,1447.3,1468.7,1613.2,1508.8,1645.4,1719.1,1895.9,2007.0,2090.9,2104.1,1977.6,2069.4,2230.9,2259.4,1972.6
"30000","Montana","37","      Air transportation",44.0,50.5,51.7,51.9,39.1,49.4,56.2,59.7,74.3,80.9,94.3,76.8,77.7,87.1,110.0,109.7,117.4,112.1,142.9,151.1,171.5,200.0,208.5,25.7
"30000","Montana","38","      Rail transportation",327.2,343.6,330.3,356.6,355.6,322.6,373.1,433.6,514.0,608.0,617.3,772.4,689.0,740.5,709.6,828.1,866.8,944.1,931.4,849.9,900.3,966.6,939.1,821.2
"30000","Montana","39","      Water transportation",1.3,0.5,0.7,1.2,2.2,0.1,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.6,1.0,2.4,2.7,2.4,2.7,0.8,1.0,1.3,1.3,0.8
"30000","Montana","40","      Truck transportation",255.5,299.3,310.1,324.3,308.2,316.1,332.2,381.3,405.5,441.0,436.2,424.1,392.1,421.9,491.5,545.0,598.9,608.8,593.5,537.1,533.5,550.1,561.3,512.2
