"SAGDP2N Gross domestic product (GDP) by state 1/"
"(millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"44000","Rhode Island","1","All industry total",28928.8,30818.5,32267.2,34466.8,35862.8,37809.2,39638.0,42363.9,44374.1,47204.4,47340.8,47277.5,47702.2,49468.3,50206.1,51583.0,53034.1,54559.7,56390.8,57353.5,57940.8,59129.0,61319.1,60556.3
"44000","Rhode Island","2","  Private industries",24544.5,26319.1,27527.0,29385.7,30586.8,32279.7,33758.2,36079.4,37809.9,40361.3,40250.9,40105.6,40738.8,42293.4,42899.8,44289.9,45702.9,47147.8,48820.0,49694.0,49874.5,50872.5,52768.0,51906.5
"44000","Rhode Island","3","    Agriculture, forestry, fishing and hunting",99.1,111.5,120.9,138.2,127.4,125.5,126.7,120.6,112.7,124.4,106.0,117.4,110.9,118.7,115.2,106.1,103.9,100.6,112.5,109.4,115.3,109.7,107.4,107.5
"44000","Rhode Island","4","      Farms",28.1,26.4,25.7,27.0,29.4,33.5,36.6,43.2,39.4,39.4,35.2,50.5,45.1,47.1,47.3,43.8,47.1,42.1,46.0,37.6,44.6,41.2,39.4,38.9
"44000","Rhode Island","5","      Forestry, fishing, and related activities",70.9,85.1,95.1,111.2,97.9,91.9,90.0,77.4,73.3,85.1,70.7,66.9,65.8,71.7,67.8,62.3,56.7,58.5,66.6,71.8,70.7,68.5,67.9,68.6
"44000","Rhode Island","6","    Mining, quarrying, and oil and gas extraction",13.3,15.3,16.7,16.5,15.2,20.2,20.5,28.9,27.9,27.8,31.4,37.3,38.4,26.1,18.9,24.4,19.3,45.0,58.4,54.8,61.8,50.5,48.1,44.0
"44000","Rhode Island","7","      Oil and gas extraction",0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.1,"(L)","(L)",1.0,1.4,1.2,0.5,0.1,0.0,0.0,0.0,0.0
"44000","Rhode Island","8","      Mining (except oil and gas)",10.1,11.6,13.1,12.4,13.9,18.9,19.4,28.3,27.8,27.7,31.1,37.0,38.3,26.0,18.8,23.4,17.8,43.8,57.9,54.7,61.8,50.5,48.1,44.0
"44000","Rhode Island","9","      Support activities for mining",3.3,3.7,3.6,4.1,1.3,1.2,1.0,0.5,"(L)","(L)","(L)",0.1,"(L)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"44000","Rhode Island","10","    Utilities",508.2,478.8,497.5,551.4,577.4,455.1,508.2,547.6,547.3,658.1,640.6,703.1,748.6,800.2,780.9,749.7,789.3,829.4,863.8,857.8,872.8,913.8,953.3,989.9
"44000","Rhode Island","11","    Construction",1211.5,1373.7,1527.6,1650.7,1734.1,1771.7,2022.4,2200.6,2424.4,2558.1,2557.3,2260.6,2070.5,1950.8,1875.0,1956.0,1875.2,1869.8,1898.7,1979.1,2017.4,2201.0,2369.0,2354.2
"44000","Rhode Island","12","    Manufacturing",4176.0,4271.5,4376.6,4429.0,4393.9,4648.2,4189.2,4606.0,4201.3,4804.8,4225.6,4234.2,3867.4,4043.0,4018.6,4024.3,4426.9,4312.4,4847.8,4894.5,4787.1,4894.1,4632.8,4464.0
"44000","Rhode Island","13","      Durable goods manufacturing",2949.6,2986.6,3054.7,3100.0,3124.4,3282.3,2846.7,3324.1,3034.2,3155.0,3028.8,3023.1,2641.6,2740.0,2722.8,2663.3,2839.4,2671.2,3024.9,3229.1,2979.2,3111.6,3101.1,2911.5
"44000","Rhode Island","14","        Wood product manufacturing",36.3,35.0,35.7,40.8,43.0,44.0,45.5,40.3,39.2,34.6,37.0,39.4,41.4,33.9,36.8,39.8,47.7,46.6,46.9,50.2,48.2,40.9,44.0,41.0
"44000","Rhode Island","15","        Nonmetallic mineral product manufacturing",82.7,65.6,61.6,63.7,52.1,56.2,53.6,47.6,53.0,60.6,56.3,54.7,54.0,55.5,52.6,52.7,68.5,60.6,68.9,66.6,71.1,74.2,79.4,82.5
"44000","Rhode Island","16","        Primary metal manufacturing",127.4,176.3,194.2,165.1,139.5,196.4,173.1,205.4,212.0,288.5,243.0,340.2,294.4,346.8,415.8,413.5,212.1,178.6,187.3,165.0,164.8,197.4,231.1,211.2
"44000","Rhode Island","17","        Fabricated metal product manufacturing",501.4,477.9,478.5,560.4,526.1,652.3,414.6,574.1,555.2,555.0,384.1,444.8,316.9,415.1,375.3,368.8,370.8,321.2,316.9,299.1,375.6,339.0,344.9,300.4
"44000","Rhode Island","18","        Machinery manufacturing",199.9,225.8,224.6,269.1,255.0,165.3,162.4,161.3,168.8,174.8,189.0,191.4,161.7,164.1,167.6,187.5,221.6,226.9,244.4,299.1,263.4,270.4,269.5,254.5
"44000","Rhode Island","19","        Computer and electronic product manufacturing",400.4,423.4,439.7,443.8,404.1,407.0,458.0,421.1,410.8,408.4,370.2,439.7,407.5,439.8,437.6,391.6,586.7,496.2,454.6,508.9,479.8,558.1,620.4,625.2
"44000","Rhode Island","20","        Electrical equipment, appliance, and component manufacturing",263.7,233.8,400.5,371.6,470.4,407.6,415.0,520.6,472.3,475.1,546.5,349.2,195.4,71.6,107.4,171.2,271.2,217.6,227.0,167.8,172.7,180.1,176.0,168.1
"44000","Rhode Island","21","        Motor vehicles, bodies and trailers, and parts manufacturing",204.4,177.9,145.2,73.3,55.7,48.4,47.9,45.1,27.4,26.6,29.2,21.0,10.1,17.2,20.1,19.6,23.4,24.7,25.6,30.8,27.6,34.3,32.0,33.3
"44000","Rhode Island","22","        Other transportation equipment manufacturing",95.7,115.3,134.0,157.7,175.1,189.2,187.4,195.9,243.2,219.1,261.8,282.1,267.0,283.4,288.7,305.6,317.1,435.2,649.7,683.3,503.0,544.8,487.4,364.3
"44000","Rhode Island","23","        Furniture and related product manufacturing",82.2,74.0,62.4,67.1,52.5,86.3,84.2,69.0,75.7,84.9,94.4,68.8,59.9,65.7,56.4,58.9,75.8,80.2,84.6,84.7,76.9,85.3,91.8,98.7
"44000","Rhode Island","24","        Miscellaneous manufacturing",955.3,981.5,878.3,887.5,950.8,1029.7,805.0,1043.7,776.6,827.4,817.2,792.0,833.3,846.9,764.7,654.1,644.6,583.4,719.0,873.7,796.1,786.9,724.6,732.4
"44000","Rhode Island","25","      Nondurable goods manufacturing",1226.5,1284.9,1321.9,1329.0,1269.5,1366.0,1342.4,1281.9,1167.1,1649.8,1196.8,1211.1,1225.8,1302.9,1295.7,1361.0,1587.4,1641.2,1822.9,1665.4,1807.9,1782.6,1531.7,1552.5
"44000","Rhode Island","26","        Food and beverage and tobacco product manufacturing",142.6,133.1,142.5,147.7,155.0,192.4,191.9,178.1,203.5,255.2,236.8,244.5,256.3,216.8,203.5,176.1,189.6,209.6,243.1,257.2,246.8,231.3,250.9,278.5
"44000","Rhode Island","27","        Textile mills and textile product mills",329.2,344.4,355.5,327.4,272.2,250.7,204.5,230.7,184.6,158.0,168.4,170.5,162.6,147.8,128.5,149.9,140.9,175.4,183.0,183.1,165.6,154.7,149.5,143.6
"44000","Rhode Island","28","        Apparel, leather, and allied product manufacturing",26.8,22.2,23.3,23.6,17.5,13.3,9.9,9.1,10.0,8.6,8.3,9.1,7.0,7.3,6.9,6.6,6.8,6.1,6.2,6.4,6.4,8.4,9.0,11.3
"44000","Rhode Island","29","        Paper manufacturing",107.2,99.9,95.3,89.6,64.8,87.9,76.6,79.8,79.8,93.2,102.0,109.8,88.1,95.0,94.9,107.8,99.3,93.7,115.3,102.3,108.1,96.0,110.3,99.7
"44000","Rhode Island","30","        Printing and related support activities",163.0,174.5,171.9,170.2,163.3,141.2,117.9,104.3,130.7,107.3,119.8,106.6,96.1,101.8,90.4,123.8,115.9,114.7,133.1,128.5,127.9,150.0,142.2,145.0
"44000","Rhode Island","31","        Petroleum and coal products manufacturing",6.2,10.1,6.0,6.2,32.9,15.2,49.6,45.4,36.0,29.8,15.2,18.6,21.7,26.1,28.0,38.4,31.2,49.7,44.2,30.9,47.5,60.5,64.2,48.0
"44000","Rhode Island","32","        Chemical manufacturing",197.9,272.2,289.8,291.8,334.1,439.1,446.7,408.6,348.5,803.9,323.3,348.8,410.1,453.0,475.3,489.2,748.0,750.5,781.4,678.5,862.3,857.6,597.6,609.4
"44000","Rhode Island","33","        Plastics and rubber products manufacturing",253.5,228.5,237.6,272.5,229.5,226.1,245.3,225.9,174.0,193.8,222.9,203.0,184.0,255.1,268.2,269.1,255.8,241.5,316.4,278.4,243.2,223.9,208.1,216.9
"44000","Rhode Island","34","    Wholesale trade",1540.6,1672.5,1693.5,1847.3,1840.6,1913.4,2012.4,2099.9,2220.4,2289.5,2394.1,2411.1,2380.5,2621.1,2734.9,2971.5,3116.0,3200.3,3360.0,3240.5,3265.0,3319.8,3444.8,3334.4
