GeoFips,GeoName,LineCode,Description,2015,2016,2017,2018
0,United States *,1,All industry total,18206023,18695106,19479623,20527159
0,United States *,2,  Private industries,15866579,16310916,17032550,17980885
0,United States *,3,"    Agriculture, forestry, fishing and hunting",180138,165848,175945,175631
0,United States *,4,      Farms,145229,129892,139397,137114
0,United States *,5,"      Forestry, fishing, and related activities",34909,35956,36549,38517
0,United States *,6,"    Mining, quarrying, and oil and gas extraction",261698,218080,276865,320145
0,United States *,7,      Oil and gas extraction,158122,138565,176721,205942
0,United States *,8,      Mining (except oil and gas),50018,47408,56793,58451
0,United States *,9,      Support activities for mining,53558,32107,43351,55751
0,United States *,10,    Utilities,299227,302006,311579,319043
0,United States *,11,    Construction,695320,747709,800614,847107
0,United States *,12,    Manufacturing,2130998,2102850,2199275,2334147
0,United States *,13,      Durable goods manufacturing,1184400,1187775,1235449,1298876
0,United States *,14,        Wood product manufacturing,32500,35332,37923,39220
0,United States *,15,        Nonmetallic mineral product manufacturing,54696,57504,61789,62776
0,United States *,16,        Primary metal manufacturing,60090,56861,59079,67090
0,United States *,17,        Fabricated metal product manufacturing,147422,146044,149910,155443
0,United States *,18,        Machinery manufacturing,152539,143770,153666,161929
0,United States *,19,        Computer and electronic product manufacturing,267471,268060,279890,304672
0,United States *,20,"        Electrical equipment, appliance, and component manufacturing",63672,58462,60773,65061
0,United States *,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",146342,155480,158447,157755
0,United States *,22,        Other transportation equipment manufacturing,149179,148448,152874,158743
0,United States *,23,        Furniture and related product manufacturing,29154,30285,29940,31103
0,United States *,24,        Miscellaneous manufacturing,81334,87529,91158,95085
0,United States *,25,      Nondurable goods manufacturing,946598,915075,963826,1035271
0,United States *,26,        Food and beverage and tobacco product manufacturing,261915,264652,267429,265182
0,United States *,27,        Textile mills and textile product mills,17941,18579,17678,16730
0,United States *,28,"        Apparel, leather, and allied product manufacturing",9694,9613,9412,9303
0,United States *,29,        Paper manufacturing,59702,58396,55425,59190
0,United States *,30,        Printing and related support activities,40229,41221,40613,41347
0,United States *,31,        Petroleum and coal products manufacturing,145563,85707,132032,185850
0,United States *,32,        Chemical manufacturing,333255,357049,362924,375760
0,United States *,33,        Plastics and rubber products manufacturing,78299,79857,78314,81909
0,United States *,34,    Wholesale trade,1143567,1135846,1165665,1217449
0,United States *,35,    Retail trade,1020328,1052987,1081638,1119691
0,United States *,36,    Transportation and warehousing,566104,582373,609378,648132
0,United States *,37,      Air transportation,117747,129182,134821,136101
0,United States *,38,      Rail transportation,44338,40083,41336,43678
0,United States *,39,      Water transportation,15799,13470,13023,14159
0,United States *,40,      Truck transportation,149108,148864,156322,167697
0,United States *,41,      Transit and ground passenger transportation,42229,42690,45421,47560
0,United States *,42,      Pipeline transportation,36827,39194,40982,44515
0,United States *,43,      Other transportation and support activities,108108,110858,115072,124490
0,United States *,44,      Warehousing and storage,51948,58033,62399,69931
0,United States *,45,    Information,907816,970267,1004692,1064598
0,United States *,46,      Publishing industries (except Internet),223743,234524,252433,274163
0,United States *,47,      Motion picture and sound recording industries,87643,93819,94314,87207
0,United States *,48,      Broadcasting (except Internet) and telecommunications,426617,446688,445360,460214
0,United States *,49,"      Data processing, hosting, and other information services",169812,195235,212586,243014
0,United States *,50,"    Finance, insurance, real estate, rental, and leasing",3713759,3883235,4020237,4257762
0,United States *,51,      Finance and insurance,1384462,1474982,1512075,1626731
0,United States *,52,"        Monetary Authorities- central bank, credit intermediation, and related services",581551,617214,641578,693597
0,United States *,53,"        Securities, commodity contracts, and other financial investments and related activities",230953,267431,297102,314144
0,United States *,54,        Insurance carriers and related activities,554565,571596,550739,590676
0,United States *,55,"        Funds, trusts, and other financial vehicles",17394,18740,22656,28314
0,United States *,56,      Real estate and rental and leasing,2329297,2408253,2508162,2631030
0,United States *,57,        Real estate,2123134,2187623,2279516,2386667
0,United States *,58,        Rental and leasing services and lessors of nonfinancial intangible assets,206163,220630,228646,244363
0,United States *,59,    Professional and business services,2237733,2306150,2434254,2586938
0,United States *,60,"      Professional, scientific, and technical services",1349249,1395484,1458522,1559387
0,United States *,61,        Legal services,238773,252136,258751,268647
0,United States *,62,        Computer systems design and related services,284853,304859,322761,353447
0,United States *,63,"        Miscellaneous professional, scientific, and technical services",825623,838490,877011,937294
0,United States *,64,      Management of companies and enterprises,347908,350948,372696,392430
0,United States *,65,      Administrative and support and waste management and remediation services,540576,559717,603036,635120
0,United States *,66,        Administrative and support services,492645,511666,549258,577670
0,United States *,67,        Waste management and remediation services,47930,48052,53778,57450
0,United States *,68,"    Educational services, health care, and social assistance",1571230,1652644,1710730,1784158
